0 -65.9753 0 -7 1 1
105 -2511.14 -103 -111 1 1
210 -4956.2 -211 -218 1 1
315 -7400.32 -314 -323 1 1
420 -9844.61 -419 -429 1 1
525 -12289.1 -524 -535 2 1
630 -14733.2 -628 -640 2 1
735 -17177.4 -734 -748 1 1
840 -19621.9 -839 -855 2 1
945 -22065.9 -946 -959 2 1
1050 -24510.4 -1051 -1065 2 1
1155 -26954.7 -1156 -1173 3 1
1260 -29399.7 -1260 -1279 3 1
1365 -31844.2 -1367 -1385 2 1
1470 -34288.5 -1472 -1490 3 1
1575 -36733.7 -1578 -1595 2 1
1680 -39177.6 -1683 -1702 3 1
1785 -41622.2 -1788 -1809 3 1
1890 -44067.9 -1893 -1915 3 1
1995 -46511.8 -1999 -2022 4 1
2100 -48956.8 -2105 -2128 3 1
2205 -51400.8 -2211 -2235 3 1
2310 -53844.7 -2316 -2342 4 1
2415 -56288.9 -2421 -2448 4 1
2520 -58740.5 -2528 -2554 4 1
2625 -61184.9 -2634 -2661 4 1
2730 -63629.3 -2739 -2767 6 1
2835 -66074.1 -2846 -2875 7 1
2940 -68518.1 -2950 -2980 7 1
3045 -70962.8 -3054 -3087 6 1
3150 -73406.9 -3161 -3193 7 1
3255 -75851.5 -3267 -3299 8 1
3360 -78295.3 -3372 -3405 7 1
3465 -80740 -3476 -3513 7 1
3570 -83184.8 -3582 -3620 9 1
3675 -85628.6 -3690 -3725 8 1
3780 -88073.7 -3795 -3835 8 1
3885 -90518 -3901 -3939 9 1
3990 -92962 -4007 -4047 9 1
4095 -95407 -4113 -4154 9 1
