0 6325.68 1240 1173 10 1
62.5 6154.97 1207 1142 10 1
125 5894.86 1154 1092 9 1
187.5 5637.16 1104 1046 7 1
250 5375.37 1052 998 7 1
312.5 5118.27 1002 950 4 1
375 4857.35 950 903 6 1
437.5 4599.73 899 856 6 1
500 4337.91 847 806 4 1
562.5 4081.36 798 762 4 1
625 3819.21 744 714 2 1
687.5 3561.52 695 666 3 1
750 3300.56 643 616 2 1
812.5 3043.92 590 570 0 1
875 2781.35 539 522 0 1
937.5 2524.24 488 474 0 1
1000 2263.65 437 426 -1 1
1062.5 2005.54 388 380 -1 1
1125 1744.44 335 330 -4 1
1187.5 1486.27 283 283 -3 1
1250 1226 233 236 -6 1
1312.5 968.068 181 190 -4 1
1375 706.486 130 140 -6 1
1437.5 448.588 79 95 -9 1
1500 188.492 26 48 -7 1
1562.5 -70.6605 -24 -1 -9 1
1625 -330.959 -75 -48 -10 1
1687.5 -588.433 -125 -95 -10 1
1750 -850.207 -178 -142 -12 1
1812.5 -1107.49 -228 -191 -13 1
1875 -1369.54 -279 -238 -14 1
1937.5 -1625.36 -328 -284 -13 1
2000 -1888.45 -382 -334 -13 1
2062.5 -2145.38 -432 -379 -15 1
2125 -2406.65 -484 -426 -17 1
2187.5 -2662.48 -535 -476 -15 1
2250 -2926.41 -587 -523 -19 1
2312.5 -3183.47 -639 -572 -19 1
2375 -3443.86 -689 -617 -19 1
2437.5 -3701.42 -740 -666 -20 1
2500 -3963.76 -792 -715 -23 1
2562.5 -4219.98 -842 -761 -23 1
2625 -4482.16 -894 -811 -24 1
2687.5 -4740.07 -946 -855 -25 1
2750 -5000.7 -997 -902 -25 1
2812.5 -5257.32 -1047 -952 -25 1
2875 -5520.57 -1099 -999 -26 1
2937.5 -5776.87 -1149 -1047 -28 1
3000 -6037.18 -1202 -1092 -28 1
3062.5 -6295.18 -1252 -1141 -28 1
3125 -6557.12 -1306 -1188 -30 1
3187.5 -6815.19 -1356 -1235 -29 1
3250 -7075.07 -1407 -1284 -32 1
3312.5 -7334.5 -1458 -1329 -31 1
3375 -7594.43 -1510 -1379 -32 1
3437.5 -7850.73 -1558 -1427 -32 1
3500 -8114.16 -1613 -1475 -35 1
3562.5 -8370.23 -1662 -1520 -36 1
3625 -8631.09 -1715 -1569 -36 1
3687.5 -8888.47 -1766 -1617 -35 1
3750 -9150.68 -1817 -1663 -37 1
3812.5 -9408.2 -1867 -1712 -36 1
3875 -9667.98 -1920 -1761 -39 1
3937.5 -9925.16 -1968 -1807 -39 1
4000 -10188.1 -2021 -1851 -41 1
4062.5 -10445.2 -2072 -1901 -41 1
4125 -10705.9 -2124 -1949 -41 1
4187.5 -10964.3 -2175 -1994 -45 1
4250 -11223.8 -2225 -2045 -43 1
4312.5 -11481.4 -2277 -2089 -43 1
4375 -11743.5 -2329 -2139 -47 1
4437.5 -12000.6 -2380 -2185 -47 1
4500 -12261.5 -2431 -2236 -48 1
4562.5 -12518.3 -2481 -2283 -46 1
4625 -12780.9 -2534 -2327 -48 1
4687.5 -13037.2 -2584 -2375 -50 1
4750 -13298.1 -2637 -2423 -52 1
4812.5 -13407.7 -2657 -2440 -56 1
4875 -13426.7 -2662 -2442 -53 1
4937.5 -13430.2 -2661 -2442 -53 1
