0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DAC_VOLTAGE_GAIN_0',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_0',7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
'ADC_U_LOAD_GAIN_0',1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
'ADC_U_LOAD_OFFSET_0',16.0,18.0,17.0,15.0,17.0,18.0,15.0,17.0,17.0,16.0,15.0,18.0,16.0,16.0,18.0,17.0,15.0,16.0,17.0,15.0
'ADC_U_REGULATOR_GAIN_0',2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
'ADC_U_REGULATOR_OFFSET_0',20.0,13.0,17.0,15.0,14.0,19.0,18.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,19.0,17.0,18.0,18.0,19.0
'ADC_I_MON_GAIN_0',23.0,34.0,11.0,21.0,31.0,25.0,23.0,23.0,26.0,22.0,30.0,22.0,31.0,27.0,25.0,27.0,30.0,27.0,24.0,23.0
'ADC_I_MON_OFFSET_0',114.0,167.0,62.0,103.0,155.0,121.0,114.0,114.0,126.0,106.0,149.0,108.0,152.0,132.0,126.0,131.0,149.0,131.0,114.0,114.0
'DAC_CURRENT_GAIN_0',3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
'DAC_CURRENT_OFFSET_0',23.0,23.0,22.0,23.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,22.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
