-100 100 -1556 -329 1 -1464.77
-97.5 97.5 -1480 -328 1 -1470.62
-95 95 -1442 -328 1 -1476.51
-92.5 92.5 -1406 -329 1 -1482.42
-90 90 -1368 -328 1 -1488.25
-87.5 87.5 -1331 -329 1 -1494.14
-85 85 -1292 -328 1 -1499.98
-82.5 82.5 -1256 -327 1 -1505.83
-80 80 -1218 -328 1 -1511.74
-77.5 77.5 -1180 -329 1 -1517.55
-75 75 -1142 -330 1 -1523.41
-72.5 72.5 -1105 -330 1 -1529.28
-70 70 -1069 -327 1 -1535.16
-67.5 67.5 -1030 -330 1 -1541.01
-65 65 -993 -329 1 -1546.84
-62.5 62.5 -955 -329 1 -1552.71
-60 60 -919 -329 1 -1558.6
-57.5 57.5 -880 -329 1 -1564.42
-55 55 -843 -330 1 -1570.26
-52.5 52.5 -805 -328 1 -1576.15
-50 50 -769 -328 1 -1582
-47.5 47.5 -729 -328 1 -1587.83
-45 45 -693 -330 1 -1593.65
-42.5 42.5 -656 -332 1 -1599.52
-40 40 -617 -329 1 -1605.35
-37.5 37.5 -581 -328 1 -1611.21
-35 35 -543 -328 1 -1617.06
-32.5 32.5 -505 -329 1 -1622.91
-30 30 -467 -329 1 -1628.79
-27.5 27.5 -429 -328 1 -1634.64
-25 25 -394 -329 1 -1640.5
-22.5 22.5 -354 -329 1 -1646.32
-20 20 -317 -329 1 -1652.19
-17.5 17.5 -279 -328 1 -1658.08
-15 15 -240 -330 1 -1663.92
-12.5 12.5 -207 -330 1 -1669.78
-10 10 -168 -329 1 -1675.62
-7.5 7.5 -128 -328 1 -1681.47
-5 5 -92 -329 1 -1687.29
-2.5 2.5 -56 -329 1 -1693.17
0 0 -17 -328 1 -1699.06
2.5 -2.5 20 -332 1 -1704.87
5 -5 58 -327 1 -1710.71
7.5 -7.5 95 -329 1 -1716.58
10 -10 131 -330 1 -1722.45
12.5 -12.5 169 -328 1 -1728.32
15 -15 207 -328 1 -1734.16
17.5 -17.5 246 -328 1 -1740.05
20 -20 281 -330 1 -1745.9
22.5 -22.5 321 -328 1 -1751.78
25 -25 358 -328 1 -1757.63
27.5 -27.5 396 -328 1 -1763.48
30 -30 433 -329 1 -1769.36
32.5 -32.5 471 -328 1 -1775.24
35 -35 509 -329 1 -1781.07
37.5 -37.5 545 -329 1 -1786.95
40 -40 583 -329 1 -1792.81
42.5 -42.5 622 -330 1 -1798.67
45 -45 659 -329 1 -1804.55
47.5 -47.5 695 -328 1 -1810.4
50 -50 732 -329 1 -1816.25
52.5 -52.5 771 -329 1 -1822.12
55 -55 808 -328 1 -1827.98
57.5 -57.5 845 -330 1 -1833.79
60 -60 882 -330 1 -1839.7
62.5 -62.5 922 -329 1 -1845.54
65 -65 959 -329 1 -1851.42
67.5 -67.5 996 -329 1 -1857.26
70 -70 1031 -328 1 -1863.12
72.5 -72.5 1071 -330 1 -1869
75 -75 1108 -328 1 -1874.9
77.5 -77.5 1146 -330 1 -1880.78
80 -80 1182 -328 1 -1886.6
82.5 -82.5 1219 -328 1 -1892.5
85 -85 1259 -330 1 -1898.37
87.5 -87.5 1296 -327 1 -1904.2
90 -90 1334 -329 1 -1910.11
92.5 -92.5 1370 -329 1 -1915.96
95 -95 1412 -328 1 -1921.87
97.5 -97.5 1446 -330 1 -1927.72
