-100 100 -99 -11 1 -6.258
-97.5 97.5 -97 -11 1 -6.2595
-95 95 -94 -6 1 -6.2678
-92.5 92.5 -92 -6 1 -6.2723
-90 90 -89 -6 1 -6.2775
-87.5 87.5 -87 -6 1 -6.281
-85 85 -84 -11 1 -6.2854
-82.5 82.5 -82 -6 1 -6.294
-80 80 -79 -11 1 -6.2957
-77.5 77.5 -77 -11 1 -6.3004
-75 75 -74 -11 1 -6.3038
-72.5 72.5 -72 -6 1 -6.3095
-70 70 -69 -11 1 -6.3162
-67.5 67.5 -67 -6 1 -6.3175
-65 65 -64 -6 1 -6.3249
-62.5 62.5 -62 -6 1 -6.327
-60 60 -59 -6 1 -6.3321
-57.5 57.5 -57 -6 1 -6.3358
-55 55 -54 -11 1 -6.3401
-52.5 52.5 -52 -6 1 -6.3477
-50 50 -49 -2 1 -6.3574
-47.5 47.5 -47 -6 1 -6.3563
-45 45 -44 -11 1 -6.3572
-42.5 42.5 -42 -2 1 -6.3627
-40 40 -39 -11 1 -6.3713
-37.5 37.5 -37 -11 1 -6.3755
-35 35 -34 -6 1 -6.3757
-32.5 32.5 -32 -11 1 -6.3784
-30 30 -29 -6 1 -6.386
-27.5 27.5 -27 -6 1 -6.3872
-25 25 -24 -6 1 -6.3952
-22.5 22.5 -22 -11 1 -6.3965
-20 20 -19 -6 1 -6.4066
-17.5 17.5 -17 -11 1 -6.4116
-15 15 -14 -11 1 -6.4124
-12.5 12.5 -12 -2 1 -6.4164
-10 10 -9 -6 1 -6.414
-7.5 7.5 -7 -6 1 -6.4228
-5 5 -4 -11 1 -6.4243
-2.5 2.5 -2 -11 1 -6.4296
0 0 0 -6 1 -6.4411
2.5 -2.5 2 -11 1 -6.4897
5 -5 5 -6 1 -12.6338
7.5 -7.5 7 -16 1 -19.1021
10 -10 10 -25 1 -25.5649
12.5 -12.5 12 -35 1 -32.0471
15 -15 15 -45 1 -38.5016
17.5 -17.5 17 -45 1 -44.9508
20 -20 20 -54 1 -51.396
22.5 -22.5001 22 -59 1 -57.84
25 -25 25 -73 1 -64.2772
27.5 -27.5 27 -68 1 -70.712
30 -30 30 -73 1 -77.1439
32.5 -32.5 32 -88 1 -83.5726
35 -35 35 -97 1 -89.9971
37.5 -37.5 37 -102 1 -96.4202
40 -40 40 -111 1 -102.841
42.5 -42.5 42 -111 1 -109.261
45 -45 45 -116 1 -115.68
47.5 -47.5 47 -121 1 -122.092
50 -50 50 -131 1 -128.506
52.5 -52.5 52 -140 1 -134.917
55 -55 55 -145 1 -141.329
57.5 -57.5 57 -150 1 -147.739
60 -60 60 -150 1 -154.148
62.5 -62.5 62 -159 1 -160.557
65 -65 65 -174 1 -166.963
67.5 -67.5 67 -178 1 -173.374
70 -70 70 -188 1 -179.778
72.5 -72.5 72 -188 1 -186.185
75 -75 75 -193 1 -192.591
77.5 -77.5 77 -202 1 -198.999
80 -80 80 -212 1 -205.817
82.5 -82.5 82 -212 1 -212.218
85 -85 85 -221 1 -218.624
87.5 -87.5 87 -226 1 -225.033
90 -90 90 -236 1 -231.431
92.5 -92.5 92 -240 1 -237.837
95 -95 95 -245 1 -244.246
97.5 -97.5 97 -255 1 -250.649
