'Date',2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DAC_VOLTAGE_GAIN_0',10016.0,10015.0,10016.0,10017.0,10017.0,10016.0,10017.0,10017.0,10017.0,10016.0,10017.0,10017.0,10016.0,10016.0,10017.0,10017.0,10017.0,10017.0,10016.0,10016.0
'DAC_VOLTAGE_OFFSET_0',153.0,148.0,144.0,121.0,122.0,127.0,127.0,123.0,124.0,132.0,127.0,128.0,130.0,130.0,129.0,128.0,128.0,131.0,146.0,147.0
'ADC_U_LOAD_GAIN_0',4643.0,4645.0,4642.0,4643.0,4643.0,4641.0,4642.0,4640.0,4643.0,4642.0,4643.0,4644.0,4644.0,4643.0,4640.0,4643.0,4642.0,4640.0,4644.0,4646.0
'ADC_U_LOAD_OFFSET_0',-750.0,-773.0,-730.0,-736.0,-756.0,-726.0,-737.0,-725.0,-733.0,-732.0,-743.0,-752.0,-770.0,-741.0,-722.0,-751.0,-731.0,-711.0,-760.0,-782.0
'ADC_U_REGULATOR_GAIN_0',10001.0,9996.0,9997.0,9993.0,9996.0,9996.0,9997.0,9997.0,9995.0,9997.0,9999.0,9996.0,9996.0,9996.0,9995.0,9996.0,9993.0,9993.0,9998.0,9997.0
'ADC_U_REGULATOR_OFFSET_0',-773.0,-738.0,-743.0,-681.0,-700.0,-718.0,-717.0,-744.0,-718.0,-733.0,-745.0,-717.0,-727.0,-714.0,-716.0,-719.0,-704.0,-694.0,-757.0,-750.0
'ADC_I_MON_GAIN_0',-10003.0,-9889.0,-9876.0,-9804.0,-9810.0,-9847.0,-9965.0,-9925.0,-10036.0,-9846.0,-9885.0,-9901.0,-9948.0,-9978.0,-9842.0,-9985.0,-9858.0,-9788.0,-9946.0,-9969.0
'ADC_I_MON_OFFSET_0',-241.0,-227.0,-67.0,16.0,-135.0,-202.0,-417.0,-668.0,-634.0,-258.0,-450.0,-445.0,-548.0,-530.0,-206.0,-746.0,-28.0,93.0,-553.0,-700.0
'DAC_CURRENT_GAIN_0',-10060.0,-10061.0,-10061.0,-10063.0,-10063.0,-10064.0,-10064.0,-10063.0,-10063.0,-10063.0,-10063.0,-10064.0,-10064.0,-10063.0,-10063.0,-10063.0,-10063.0,-10064.0,-10062.0,-10061.0
