-100 99.7566 -2913 -2485 1 -8141.4
-97.5 97.249 -2844 -2485 1 -8141.47
-95 94.7601 -2769 -2485 1 -8141.45
-92.5 92.2542 -2691 -2486 1 -8141.59
-90 89.7523 -2620 -2490 1 -8141.7
-87.5 87.2231 -2546 -2486 1 -8141.73
-85 84.7025 -2479 -2485 1 -8141.63
-82.5 82.2012 -2402 -2487 1 -8141.58
-80 79.7668 -2327 -2486 1 -8141.62
-77.5 77.219 -2266 -2487 1 -8141.64
-75 74.7266 -2172 -2486 1 -8141.51
-72.5 72.2074 -2111 -2486 1 -8141.53
-70 69.7558 -2041 -2486 1 -8141.58
-67.5 67.258 -1964 -2487 1 -8141.73
-65 64.7546 -1889 -2487 1 -8141.49
-62.5 62.2158 -1831 -2487 1 -8141.61
-60 59.7186 -1748 -2487 1 -8141.58
-57.5 57.2618 -1677 -2486 1 -8141.47
-55 54.7094 -1595 -2486 1 -8141.5
-52.5 52.2375 -1534 -2486 1 -8141.61
-50 49.7561 -1441 -2489 1 -8141.59
-47.5 47.2542 -1375 -2487 1 -8141.45
-45 44.734 -1293 -2487 1 -8141.59
-42.5 42.2289 -1236 -2485 1 -8141.73
-40 39.7385 -1148 -2487 1 -8141.7
-37.5 37.2391 -1086 -2486 1 -8141.49
-35 34.728 -1007 -2486 1 -8141.64
-32.5 32.2336 -936 -2486 1 -8141.45
-30 29.7357 -859 -2487 1 -8141.76
-27.5 27.2307 -798 -2487 1 -8141.73
-25 24.7457 -709 -2489 1 -8141.62
-22.5 22.2435 -644 -2487 1 -8141.52
-20 19.737 -561 -2489 1 -8141.61
-17.5 17.2382 -500 -2485 1 -8141.66
-15 14.7523 -410 -2486 1 -8141.65
-12.5 12.2565 -350 -2486 1 -8141.51
-10 9.9989 -280 -2486 1 -8141.52
-7.5 7.49889 -206 -2489 1 -8141.76
-5 4.99892 -131 -2487 1 -8141.74
-2.5 2.49892 -57 -2486 1 -8141.55
0 -1.199e-06 15 -2486 1 -8141.71
2.5 -2.50107 89 -2487 1 -8141.56
5 -5.00101 162 -2485 1 -8141.68
7.5 -7.501 235 -2486 1 -8141.63
10 -10.001 310 -2486 1 -8141.82
12.5 -12.7347 389 -2485 1 -8141.79
15 -15.2444 454 -2487 1 -8141.59
17.5 -17.7421 533 -2486 1 -8141.59
20 -20.24 623 -2487 1 -8141.69
22.5 -22.7543 688 -2486 1 -8141.73
25 -25.2482 762 -2489 1 -8141.81
27.5 -27.761 823 -2487 1 -8141.77
30 -30.2546 898 -2486 1 -8141.56
32.5 -32.7656 982 -2486 1 -8141.7
35 -35.2638 1052 -2486 1 -8141.75
37.5 -37.764 1130 -2487 1 -8141.72
40 -40.2612 1196 -2487 1 -8141.86
42.5 -42.7583 1289 -2487 1 -8141.62
45 -45.2605 1341 -2487 1 -8141.83
47.5 -47.768 1418 -2487 1 -8141.7
50 -50.273 1499 -2487 1 -8141.9
52.5 -52.7564 1567 -2486 1 -8141.84
55 -55.2606 1645 -2486 1 -8141.78
57.5 -57.7535 1723 -2486 1 -8141.87
60 -60.2561 1793 -2487 1 -8141.8
62.5 -62.7554 1851 -2487 1 -8141.72
65 -65.2593 1934 -2485 1 -8141.75
67.5 -67.7664 2014 -2486 1 -8141.7
70 -70.2489 2066 -2486 1 -8141.93
72.5 -72.7583 2164 -2487 1 -8141.7
75 -75.2549 2216 -2486 1 -8141.97
77.5 -77.7543 2318 -2486 1 -8141.98
80 -80.2594 2381 -2486 1 -8141.91
82.5 -82.7573 2454 -2487 1 -8141.8
85 -85.2581 2534 -2485 1 -8141.89
87.5 -87.7567 2587 -2486 1 -8141.73
90 -90.2515 2675 -2486 1 -8141.83
92.5 -92.7595 2749 -2487 1 -8141.97
95 -95.2248 2819 -2489 1 -8141.82
97.5 -97.7654 2894 -2486 1 -8141.76
