-100 99.681 -2956 -1397 1 -4590.13
-97.5 97.1905 -2879 -1398 1 -4609.85
-95 94.6944 -2803 -1397 1 -4629.55
-92.5 92.1905 -2733 -1397 1 -4649.15
-90 89.6858 -2659 -1398 1 -4668.8
-87.5 87.1895 -2589 -1397 1 -4688.39
-85 84.6919 -2517 -1396 1 -4708.08
-82.5 82.1909 -2434 -1398 1 -4727.67
-80 79.6976 -2364 -1397 1 -4747.22
-77.5 77.1902 -2285 -1398 1 -4767.15
-75 74.6904 -2211 -1397 1 -4786.73
-72.5 72.1903 -2136 -1397 1 -4806.42
-70 69.6927 -2069 -1397 1 -4825.87
-67.5 67.1885 -1994 -1397 1 -4845.65
-65 64.6881 -1916 -1398 1 -4865.22
-62.5 62.1884 -1844 -1397 1 -4884.84
-60 59.6858 -1771 -1396 1 -4904.54
-57.5 57.1911 -1691 -1398 1 -4924.15
-55 54.6989 -1627 -1398 1 -4943.86
-52.5 52.1908 -1549 -1398 1 -4963.44
-50 49.6917 -1473 -1397 1 -4983.2
-47.5 47.1904 -1400 -1398 1 -5002.83
-45 44.6809 -1330 -1397 1 -5022.35
-42.5 42.1887 -1252 -1398 1 -5042.14
-40 39.6916 -1176 -1397 1 -5061.59
-37.5 37.1936 -1099 -1397 1 -5081.29
-35 34.6883 -1031 -1397 1 -5101.07
-32.5 32.1891 -957 -1397 1 -5120.66
-30 29.6908 -883 -1397 1 -5140.3
-27.5 27.1875 -814 -1397 1 -5159.96
-25 24.688 -738 -1397 1 -5179.54
-22.5 22.1866 -656 -1397 1 -5199.15
-20 19.6795 -582 -1398 1 -5218.87
-17.5 17.1832 -509 -1396 1 -5238.41
-15 14.6842 -437 -1398 1 -5258.03
-12.5 12.1761 -360 -1398 1 -5277.5
-10 9.99845 -302 -1400 1 -5294.47
-7.5 7.49842 -228 -1397 1 -5314.09
-5 4.99844 -155 -1397 1 -5333.79
-2.5 2.4984 -81 -1396 1 -5353.5
0 -1.631e-06 -6 -1398 1 -5373.09
2.5 -2.50159 68 -1397 1 -5392.7
5 -5.00161 142 -1398 1 -5412.5
7.5 -7.5016 216 -1397 1 -5432.22
10 -10.0016 290 -1397 1 -5451.93
12.5 -12.8313 377 -1397 1 -5474.09
15 -15.3311 447 -1397 1 -5493.63
17.5 -17.8308 520 -1398 1 -5513.32
20 -20.3391 599 -1398 1 -5532.99
22.5 -22.8371 670 -1397 1 -5552.81
25 -25.3379 747 -1398 1 -5572.41
27.5 -27.8397 822 -1397 1 -5592.14
30 -30.3318 898 -1398 1 -5611.69
32.5 -32.834 969 -1397 1 -5631.44
35 -35.3344 1044 -1396 1 -5650.96
37.5 -37.8367 1118 -1397 1 -5670.81
40 -40.3348 1186 -1398 1 -5690.56
42.5 -42.8394 1265 -1397 1 -5710.19
45 -45.3337 1336 -1397 1 -5729.93
47.5 -47.8398 1417 -1397 1 -5749.43
50 -50.3316 1489 -1397 1 -5769.1
52.5 -52.8362 1564 -1398 1 -5788.74
55 -55.3349 1638 -1396 1 -5808.48
57.5 -57.8282 1712 -1397 1 -5828.11
60 -60.3349 1787 -1397 1 -5847.68
62.5 -62.8349 1857 -1397 1 -5867.55
65 -65.3333 1933 -1397 1 -5887.18
67.5 -67.8319 2004 -1397 1 -5906.65
70 -70.3287 2078 -1396 1 -5926.38
72.5 -72.8368 2153 -1398 1 -5946.1
75 -75.3369 2227 -1397 1 -5965.85
77.5 -77.8351 2307 -1396 1 -5985.43
80 -80.3319 2381 -1397 1 -6005.14
82.5 -82.8358 2448 -1397 1 -6024.9
85 -85.3294 2524 -1398 1 -6044.61
87.5 -87.8351 2601 -1397 1 -6064.01
90 -90.3296 2669 -1398 1 -6083.84
92.5 -92.8341 2746 -1397 1 -6103.54
95 -95.3362 2819 -1398 1 -6123.18
97.5 -97.8358 2894 -1397 1 -6142.89
