-100 99.6746 -2954 -1542 1 -7824.21
-97.5 97.1684 -2879 -1542 1 -7832
-95 94.667 -2808 -1541 1 -7840.25
-92.5 92.1653 -2734 -1542 1 -7848.08
-90 89.6663 -2658 -1541 1 -7855.97
-87.5 87.1641 -2584 -1541 1 -7864.04
-85 84.6628 -2509 -1542 1 -7871.92
-82.5 82.1687 -2437 -1544 1 -7880.06
-80 79.6715 -2362 -1542 1 -7888.13
-77.5 77.1661 -2287 -1542 1 -7896.01
-75 74.6681 -2215 -1542 1 -7903.9
-72.5 72.167 -2142 -1541 1 -7911.81
-70 69.6636 -2066 -1542 1 -7919.98
-67.5 67.1673 -1993 -1541 1 -7927.96
-65 64.6694 -1921 -1542 1 -7935.83
-62.5 62.1638 -1842 -1542 1 -7943.82
-60 59.6589 -1771 -1542 1 -7951.9
-57.5 57.1744 -1696 -1542 1 -7959.74
-55 54.6594 -1624 -1542 1 -7968
-52.5 52.1716 -1547 -1541 1 -7975.92
-50 49.6642 -1474 -1542 1 -7983.93
-47.5 47.1695 -1402 -1542 1 -7991.57
-45 44.672 -1325 -1542 1 -7999.79
-42.5 42.1629 -1251 -1542 1 -8007.62
-40 39.6675 -1176 -1542 1 -8015.81
-37.5 37.1633 -1105 -1542 1 -8023.61
-35 34.6665 -1029 -1542 1 -8031.57
-32.5 32.1634 -954 -1542 1 -8039.57
-30 29.6706 -882 -1541 1 -8047.5
-27.5 27.1666 -806 -1542 1 -8055.65
-25 24.6654 -729 -1542 1 -8063.54
-22.5 22.1641 -657 -1542 1 -8071.73
-20 19.6693 -585 -1541 1 -8079.48
-17.5 17.1675 -510 -1542 1 -8087.32
-15 14.6676 -512 -1541 1 -8095.59
-12.5 12.1646 -361 -1542 1 -8103.46
-10 9.99839 -297 -1541 1 -8110.31
-7.5 7.49839 -224 -1541 1 -8118.35
-5 4.99842 -148 -1542 1 -8126.33
-2.5 2.49842 -75 -1542 1 -8134.33
0 -1.615e-06 -1 -1541 1 -8142.29
2.5 -2.5016 73 -1541 1 -8150.42
5 -5.00158 147 -1542 1 -8158.36
7.5 -7.5016 220 -1542 1 -8166.32
10 -10.0016 294 -1542 1 -8174.2
12.5 -12.8353 380 -1542 1 -8183.52
15 -15.3368 452 -1544 1 -8191.17
17.5 -17.8229 526 -1541 1 -8199.15
20 -20.3473 579 -1542 1 -8207.16
22.5 -22.8476 673 -1542 1 -8215.18
25 -25.3439 748 -1541 1 -8223.45
27.5 -27.8479 823 -1544 1 -8231.18
30 -30.3476 897 -1542 1 -8239.12
32.5 -32.8506 971 -1541 1 -8247.43
35 -35.3523 1048 -1542 1 -8255.15
37.5 -37.8456 1121 -1542 1 -8263.16
40 -40.3609 1195 -1542 1 -8271.08
42.5 -42.8463 1269 -1542 1 -8278.98
45 -45.3397 1341 -1542 1 -8286.97
47.5 -47.8427 1417 -1542 1 -8294.93
50 -50.342 1488 -1542 1 -8303.02
52.5 -52.8417 1564 -1541 1 -8311.19
55 -55.3419 1638 -1541 1 -8319.11
57.5 -57.8329 1712 -1542 1 -8326.99
60 -60.3404 1787 -1542 1 -8334.92
62.5 -62.8555 1861 -1542 1 -8342.96
65 -65.3382 1938 -1542 1 -8351.13
67.5 -67.8394 2009 -1544 1 -8358.94
70 -70.3413 2083 -1542 1 -8367.16
72.5 -72.8379 2160 -1542 1 -8374.79
75 -75.3361 2232 -1542 1 -8382.8
77.5 -77.8436 2307 -1542 1 -8390.76
80 -80.3384 2381 -1541 1 -8398.93
82.5 -82.8438 2453 -1542 1 -8406.9
85 -85.3384 2528 -1542 1 -8414.87
87.5 -87.8429 2602 -1542 1 -8422.73
90 -90.3419 2675 -1542 1 -8430.87
92.5 -92.8408 2749 -1541 1 -8438.81
95 -95.3413 2823 -1541 1 -8446.59
97.5 -97.8434 2900 -1542 1 -8454.7
