0 1.5042 -3 -2 -3 1
62.5 63.5286 24 57 -2 1
125 126.488 53 119 -3 1
187.5 188.48 81 181 -4 1
250 251.722 111 245 -3 1
312.5 313.763 140 307 -3 1
375 376.724 168 371 -4 1
437.5 438.744 198 433 -6 1
500 502.052 227 494 -3 1
562.5 564.063 256 556 -3 1
625 627.033 286 620 -4 1
687.5 689.39 313 682 -3 1
750 752.322 341 744 -3 1
812.5 814.385 372 809 -4 1
875 877.642 401 871 -4 1
937.5 939.705 429 932 -3 1
1000 1002.64 460 994 -4 1
1062.5 1064.68 488 1055 -6 1
1125 1127.96 518 1119 -3 1
1187.5 1190.02 546 1181 -3 1
1250 1252.99 576 1246 -4 1
1312.5 1315.04 605 1308 -4 1
1375 1378.3 633 1370 -6 1
1437.5 1440.34 662 1430 -6 1
1500 1503.32 693 1495 -4 1
1562.5 1565.69 721 1556 -6 1
1625 1628.63 750 1619 -3 1
1687.5 1690.67 778 1682 -4 1
1750 1753.99 808 1745 -4 1
1812.5 1816.02 837 1807 -4 1
1875 1879.04 865 1870 -6 1
1937.5 1941.08 895 1933 -4 1
2000 2004.37 926 1997 -4 1
2062.5 2066.5 953 2058 -4 1
2125 2128.68 982 2120 -6 1
2187.5 2190.77 1010 2182 -6 1
2250 2254.05 1040 2246 -4 1
2312.5 2316.08 1069 2307 -6 1
2375 2379.01 1097 2369 -4 1
2437.5 2441.42 1126 2432 -4 1
2500 2504.42 1157 2495 -6 1
2562.5 2566.44 1184 2558 -4 1
2625 2629.7 1214 2622 -6 1
2687.5 2691.75 1243 2681 -3 1
2750 2754.79 1273 2745 -4 1
2812.5 2816.82 1301 2808 -4 1
2875 2880.12 1330 2871 -6 1
2937.5 2942.06 1358 2932 -4 1
3000 3005.1 1390 2996 -4 1
3062.5 3067.15 1417 3057 -6 1
3125 3130.49 1446 3122 -4 1
3187.5 3192.48 1474 3183 -6 1
3250 3255.44 1505 3245 -4 1
3312.5 3317.79 1533 3308 -4 1
3375 3380.74 1563 3371 -6 1
3437.5 3442.8 1591 3433 -4 1
3500 3506.14 1622 3497 -6 1
3562.5 3568.15 1647 3558 -6 1
3625 3631.25 1678 3619 -4 1
3687.5 3693.22 1707 3680 -6 1
3750 3756.52 1737 3746 -6 1
3812.5 3818.53 1766 3808 -4 1
3875 3881.55 1795 3870 -6 1
3937.5 3943.64 1824 3931 -6 1
4000 4006.93 1853 3996 -6 1
4062.5 4069.06 1882 4058 -4 1
4125 4132.01 1912 4122 -4 1
4187.5 4194.38 1942 4183 -6 1
4250 4257.37 1968 4246 -4 1
4312.5 4319.37 1999 4307 -7 1
4375 4382.61 2028 4371 -6 1
4437.5 4444.72 2056 4433 -6 1
4500 4507.71 2086 4498 -7 1
4562.5 4569.73 2114 4558 -4 1
4625 4633.11 2144 4622 -7 1
4687.5 4695.12 2174 4685 -4 1
4750 4758.15 2202 4746 -4 1
4812.5 4820.1 2230 4808 -7 1
4875 4883.47 2260 4870 -6 1
4937.5 4945.49 2288 4934 -6 1
