-100 100.024 -2945 -1541 1 -8106.89
-97.5 97.5324 -2871 -1541 1 -8114.93
-95 95.0347 -2801 -1541 1 -8123.31
-92.5 92.5324 -2727 -1541 1 -8131.4
-90 90.033 -2647 -1542 1 -8139.69
-87.5 87.5345 -2578 -1542 1 -8147.86
-85 85.0365 -2500 -1541 1 -8156.07
-82.5 82.5319 -2429 -1541 1 -8164.23
-80 80.0266 -2353 -1542 1 -8172.58
-77.5 77.5384 -2280 -1541 1 -8180.78
-75 75.0295 -2207 -1542 1 -8188.97
-72.5 72.5287 -2130 -1541 1 -8197.26
-70 70.0273 -2059 -1542 1 -8205.49
-67.5 67.5329 -1983 -1542 1 -8213.56
-65 65.0328 -1910 -1542 1 -8221.8
-62.5 62.5328 -1834 -1542 1 -8230.08
-60 60.0321 -1763 -1541 1 -8238.17
-57.5 57.5337 -1689 -1541 1 -8246.44
-55 55.0371 -1616 -1541 1 -8254.57
-52.5 52.5315 -1541 -1541 1 -8262.93
-50 50.0318 -1467 -1541 1 -8271.13
-47.5 47.529 -1392 -1541 1 -8279.15
-45 45.0344 -1318 -1541 1 -8287.48
-42.5 42.53 -1243 -1542 1 -8295.45
-40 40.0375 -1170 -1541 1 -8304.01
-37.5 37.5371 -1096 -1542 1 -8312.08
-35 35.0341 -1021 -1540 1 -8320.3
-32.5 32.5365 -948 -1542 1 -8328.61
-30 30.0376 -875 -1542 1 -8336.74
-27.5 27.5353 -799 -1541 1 -8344.92
-25 25.0323 -726 -1542 1 -8353.11
-22.5 22.5357 -653 -1541 1 -8361.24
-20 20.0316 -578 -1540 1 -8369.65
-17.5 17.5357 -505 -1540 1 -8377.78
-15 15.0317 -430 -1542 1 -8386
-12.5 12.5382 -356 -1541 1 -8394.2
-10 10.0002 -281 -1541 1 -8402.65
-7.5 7.50018 -208 -1540 1 -8410.81
-5 5.00019 -133 -1542 1 -8418.91
-2.5 2.5002 -59 -1541 1 -8427.2
0 2.09e-07 15 -1541 1 -8435.77
2.5 -2.49981 89 -1541 1 -8443.56
5 -4.99979 162 -1541 1 -8451.8
7.5 -7.4998 235 -1541 1 -8459.98
10 -9.99978 311 -1541 1 -8468.22
12.5 -12.4648 384 -1542 1 -8476.26
15 -14.9613 457 -1541 1 -8484.54
17.5 -17.4655 533 -1541 1 -8492.76
20 -19.9533 603 -1542 1 -8501.02
22.5 -22.4546 679 -1542 1 -8509.28
25 -24.9577 755 -1542 1 -8517.32
27.5 -27.4483 825 -1541 1 -8525.51
30 -29.9395 900 -1542 1 -8533.66
32.5 -32.4362 976 -1541 1 -8541.9
35 -34.9547 1048 -1541 1 -8550.33
37.5 -37.4617 1124 -1542 1 -8558.35
40 -39.9609 1197 -1542 1 -8566.61
42.5 -42.4584 1270 -1541 1 -8574.87
45 -44.9704 1343 -1542 1 -8583.01
47.5 -47.4576 1420 -1540 1 -8591.1
50 -49.9647 1494 -1542 1 -8599.46
52.5 -52.4599 1568 -1541 1 -8607.76
55 -54.9566 1641 -1540 1 -8615.93
57.5 -57.4578 1717 -1541 1 -8624.25
60 -59.9627 1789 -1542 1 -8632.3
62.5 -62.4525 1865 -1542 1 -8640.59
65 -64.9573 1939 -1542 1 -8648.71
67.5 -67.4629 2012 -1541 1 -8657.03
70 -69.9599 2086 -1542 1 -8665.33
72.5 -72.4571 2159 -1541 1 -8673.39
75 -74.9621 2233 -1541 1 -8681.74
77.5 -77.4574 2309 -1542 1 -8689.89
80 -79.9594 2381 -1541 1 -8697.94
82.5 -82.459 2456 -1541 1 -8706.23
85 -84.9586 2529 -1541 1 -8714.45
87.5 -87.4643 2606 -1542 1 -8722.62
90 -89.9569 2680 -1542 1 -8730.85
92.5 -92.4636 2750 -1541 1 -8739.15
95 -94.9636 2824 -1541 1 -8747.33
97.5 -97.4603 2900 -1541 1 -8755.58
