-100 98.2946 -2927 -1545 1 -7860.55
-97.5 95.788 -2858 -1545 1 -7867.77
-95 93.2827 -2766 -1546 1 -7875.02
-92.5 90.7641 -2694 -1545 1 -7882.32
-90 88.2619 -2629 -1545 1 -7889.5
-87.5 85.7549 -2550 -1544 1 -7896.76
-85 83.2532 -2470 -1545 1 -7903.98
-82.5 80.7646 -2396 -1545 1 -7911.14
-80 78.251 -2335 -1546 1 -7918.43
-77.5 75.7514 -2257 -1545 1 -7925.62
-75 73.2552 -2176 -1545 1 -7932.8
-72.5 70.754 -2113 -1547 1 -7940.01
-70 68.2706 -2039 -1545 1 -7947.2
-67.5 65.7784 -1955 -1545 1 -7954.4
-65 63.2778 -1879 -1545 1 -7961.64
-62.5 60.77 -1812 -1545 1 -7968.86
-60 58.2758 -1740 -1545 1 -7976.04
-57.5 55.7487 -1660 -1545 1 -7983.32
-55 53.2541 -1585 -1545 1 -7990.52
-52.5 50.7645 -1512 -1545 1 -7997.71
-50 48.281 -1447 -1545 1 -8004.88
-47.5 45.7731 -1373 -1545 1 -8012.1
-45 43.2762 -1290 -1545 1 -8019.34
-42.5 40.7798 -1212 -1545 1 -8026.54
-40 38.2672 -1140 -1545 1 -8033.78
-37.5 35.7498 -1072 -1544 1 -8041.01
-35 33.2472 -997 -1545 1 -8048.25
-32.5 30.7476 -915 -1545 1 -8055.45
-30 28.2544 -844 -1545 1 -8062.64
-27.5 25.7609 -778 -1545 1 -8069.85
-25 23.2661 -701 -1545 1 -8077.06
-22.5 20.7613 -622 -1545 1 -8084.26
-20 18.2523 -544 -1545 1 -8091.55
-17.5 15.7405 -482 -1545 1 -8098.76
-15 13.2367 -404 -1545 1 -8105.99
-12.5 10.7447 -322 -1545 1 -8113.16
-10 9.99435 -303 -1545 1 -8115.33
-7.5 7.49439 -231 -1545 1 -8122.55
-5 4.99435 -156 -1545 1 -8129.75
-2.5 2.49436 -81 -1545 1 -8137
0 -5.63e-06 -9 -1545 1 -8144.18
2.5 -2.50552 65 -1545 1 -8151.42
5 -5.00551 139 -1545 1 -8158.62
7.5 -7.50547 214 -1546 1 -8165.83
10 -10.0054 289 -1545 1 -8173.1
12.5 -14.2818 421 -1544 1 -8185.4
15 -16.7776 484 -1545 1 -8192.65
17.5 -19.2923 555 -1545 1 -8199.9
20 -21.7638 644 -1546 1 -8206.96
22.5 -24.2585 716 -1544 1 -8214.23
25 -26.7844 789 -1545 1 -8221.45
27.5 -29.2785 853 -1545 1 -8228.69
30 -31.7702 938 -1544 1 -8235.9
32.5 -34.276 1013 -1544 1 -8243.07
35 -36.7766 1083 -1545 1 -8250.28
37.5 -39.2901 1151 -1545 1 -8257.54
40 -41.7809 1221 -1544 1 -8264.7
42.5 -44.2808 1311 -1545 1 -8271.98
45 -46.7706 1381 -1545 1 -8279.11
47.5 -49.2625 1456 -1545 1 -8286.32
50 -51.764 1522 -1545 1 -8293.54
52.5 -54.2631 1596 -1545 1 -8300.73
55 -56.7661 1682 -1544 1 -8308
57.5 -59.278 1754 -1545 1 -8315.22
60 -61.7707 1821 -1544 1 -8322.48
62.5 -64.2688 1892 -1545 1 -8329.61
65 -66.7771 1968 -1544 1 -8336.85
67.5 -69.2779 2053 -1545 1 -8344.1
70 -71.7764 2125 -1545 1 -8351.27
72.5 -74.2827 2192 -1544 1 -8358.53
75 -76.7702 2263 -1546 1 -8365.73
77.5 -79.2686 2342 -1546 1 -8372.95
80 -81.7582 2421 -1545 1 -8380.14
82.5 -84.2528 2496 -1545 1 -8387.31
85 -86.7594 2562 -1545 1 -8394.53
87.5 -89.2471 2633 -1545 1 -8401.73
90 -91.7519 2716 -1545 1 -8408.99
92.5 -94.2684 2788 -1545 1 -8416.22
95 -96.7686 2864 -1545 1 -8423.47
97.5 -99.2573 2932 -1545 1 -8430.64
