-100 99.9924 -2965 2055 1 13934.2
-97.5 97.4939 -2891 2054 1 13934.1
-95 94.9921 -2818 2055 1 13934.2
-92.5 92.4931 -2744 2055 1 13934.1
-90 89.9938 -2669 2054 1 13934.2
-87.5 87.4931 -2593 2055 1 13934
-85 84.994 -2525 2055 1 13934.2
-82.5 82.4953 -2449 2054 1 13934.3
-80 79.9939 -2377 2054 1 13934.2
-77.5 77.4948 -2303 2054 1 13933.9
-75 74.9953 -2229 2055 1 13934
-72.5 72.4969 -2156 2053 1 13934.1
-70 69.9945 -2083 2055 1 13934
-67.5 67.4945 -2009 2055 1 13934
-65 64.9949 -1934 2055 1 13934.4
-62.5 62.4968 -1857 2056 1 13934.1
-60 59.996 -1785 2054 1 13933.9
-57.5 57.4949 -1710 2055 1 13934
-55 54.9958 -1639 2054 1 13933.8
-52.5 52.4959 -1564 2055 1 13934.2
-50 49.9952 -1491 2054 1 13934
-47.5 47.4963 -1417 2054 1 13933.8
-45 44.9953 -1343 2055 1 13933.8
-42.5 42.496 -1271 2055 1 13934
-40 39.9962 -1196 2053 1 13933.8
-37.5 37.4969 -1123 2055 1 13934.2
-35 34.9968 -1049 2055 1 13934.2
-32.5 32.4978 -974 2055 1 13933.9
-30 29.9985 -902 2055 1 13934.3
-27.5 27.4972 -826 2055 1 13934.2
-25 24.9982 -754 2054 1 13933.8
-22.5 22.4979 -682 2055 1 13934
-20 19.9979 -606 2054 1 13934
-17.5 17.4987 -532 2054 1 13933.9
-15 14.9984 -460 2053 1 13933.8
-12.5 12.4987 -385 2055 1 13933.9
-10 9.9999 -311 2053 1 13934
-7.5 7.4999 -239 2054 1 13934.2
-5 4.99989 -164 2054 1 13934.2
-2.5 2.49984 -91 2055 1 13933.9
0 -2.07e-07 -18 2055 1 13933.8
2.5 -2.50013 56 2054 1 13933.9
5 -5.00009 128 2054 1 13934.1
7.5 -7.50009 202 2054 1 13934.2
10 -10.0001 277 2055 1 13934
12.5 -12.502 350 2055 1 13934.1
15 -15.001 423 2055 1 13933.7
17.5 -17.5013 495 2054 1 13934.2
20 -20.0016 571 2053 1 13933.7
22.5 -22.5021 643 2055 1 13933.7
25 -25.0018 717 2053 1 13933.8
27.5 -27.5017 793 2054 1 13934
30 -30.0017 866 2055 1 13934.1
32.5 -32.5011 938 2054 1 13934.3
35 -35.0023 1013 2054 1 13933.7
37.5 -37.5023 1087 2054 1 13933.9
40 -40.0018 1162 2055 1 13934
42.5 -42.5021 1235 2055 1 13934.2
45 -45.0019 1307 2054 1 13933.9
47.5 -47.5023 1383 2054 1 13934
50 -50.0022 1456 2056 1 13934
52.5 -52.5021 1530 2054 1 13933.8
55 -55.0032 1604 2054 1 13933.9
57.5 -57.5019 1677 2054 1 13933.8
60 -60.0027 1750 2055 1 13933.7
62.5 -62.5029 1824 2054 1 13934.1
65 -65.0022 1896 2055 1 13933.8
67.5 -67.5025 1970 2055 1 13933.8
70 -70.0026 2047 2055 1 13933.6
72.5 -72.5033 2120 2055 1 13933.7
75 -75.0035 2193 2055 1 13933.7
77.5 -77.503 2265 2054 1 13933.9
80 -80.0042 2340 2054 1 13933.6
82.5 -82.5037 2414 2055 1 13933.9
85 -85.004 2486 2055 1 13934.2
87.5 -87.5036 2562 2055 1 13934
90 -90.0027 2636 2054 1 13933.9
92.5 -92.5036 2709 2055 1 13934.1
95 -95.0028 2784 2054 1 13933.9
97.5 -97.5043 2856 2054 1 13933.8
