-100 99.9967 -2943 -2761 1 -10767.1
-97.5 97.4974 -2868 -2758 1 -10767
-95 94.9973 -2796 -2758 1 -10767.1
-92.5 92.4965 -2723 -2757 1 -10766.9
-90 89.9977 -2650 -2758 1 -10767
-87.5 87.4975 -2578 -2757 1 -10766.9
-85 84.9969 -2502 -2758 1 -10767.1
-82.5 82.4985 -2429 -2758 1 -10767.1
-80 79.9975 -2358 -2757 1 -10766.8
-77.5 77.4986 -2281 -2760 1 -10767.3
-75 74.9968 -2209 -2758 1 -10767
-72.5 72.4972 -2135 -2757 1 -10767
-70 69.9974 -2061 -2758 1 -10766.9
-67.5 67.4973 -1986 -2757 1 -10766.9
-65 64.9975 -1911 -2757 1 -10766.9
-62.5 62.4975 -1839 -2758 1 -10767.2
-60 59.9968 -1766 -2758 1 -10766.9
-57.5 57.497 -1690 -2758 1 -10767.2
-55 54.9974 -1617 -2758 1 -10766.9
-52.5 52.4991 -1544 -2758 1 -10767.2
-50 49.9974 -1470 -2757 1 -10766.9
-47.5 47.4984 -1398 -2757 1 -10767.1
-45 44.9981 -1324 -2757 1 -10766.9
-42.5 42.4988 -1248 -2758 1 -10767
-40 39.9977 -1176 -2760 1 -10766.9
-37.5 37.4983 -1102 -2758 1 -10767
-35 34.9971 -1029 -2758 1 -10767.2
-32.5 32.4968 -955 -2758 1 -10767.3
-30 29.9981 -881 -2758 1 -10767
-27.5 27.4983 -808 -2760 1 -10767.1
-25 24.9982 -737 -2758 1 -10767
-22.5 22.4983 -664 -2758 1 -10767.2
-20 19.9987 -585 -2758 1 -10767.2
-17.5 17.4998 -512 -2757 1 -10766.9
-15 14.9984 -441 -2757 1 -10767.1
-12.5 12.4984 -367 -2757 1 -10767
-10 9.99999 -294 -2758 1 -10767
-7.5 7.5 -218 -2760 1 -10767.3
-5 4.99999 -145 -2758 1 -10767.1
-2.5 2.5 -72 -2758 1 -10767
0 -4e-09 2 -2758 1 -10767
2.5 -2.50001 76 -2760 1 -10767
5 -5.00001 147 -2758 1 -10767
7.5 -7.5 223 -2760 1 -10767
10 -10 296 -2758 1 -10767
12.5 -12.4994 368 -2758 1 -10767
15 -15.0007 443 -2758 1 -10767.1
17.5 -17.5003 516 -2760 1 -10767.1
20 -20 589 -2758 1 -10767.1
22.5 -22.5002 666 -2758 1 -10767
25 -24.9994 739 -2758 1 -10767
27.5 -27.4997 812 -2760 1 -10767
30 -29.9997 886 -2758 1 -10767
32.5 -32.4996 960 -2760 1 -10766.9
35 -35.0001 1033 -2760 1 -10767
37.5 -37.5004 1105 -2758 1 -10767
40 -40.0007 1180 -2758 1 -10767.2
42.5 -42.4992 1258 -2758 1 -10767.2
45 -45 1326 -2760 1 -10767.1
47.5 -47.4998 1401 -2758 1 -10767.3
50 -50.0007 1475 -2758 1 -10767.1
52.5 -52.5009 1549 -2758 1 -10766.9
55 -55.0003 1623 -2758 1 -10767
57.5 -57.5 1696 -2758 1 -10767
60 -60.0013 1770 -2757 1 -10767.1
62.5 -62.4991 1840 -2760 1 -10767.2
65 -64.9991 1918 -2758 1 -10767.2
67.5 -67.5002 1994 -2758 1 -10767.3
70 -69.999 2064 -2758 1 -10767
72.5 -72.5004 2141 -2760 1 -10767.1
75 -74.9987 2213 -2758 1 -10767.2
77.5 -77.4998 2285 -2758 1 -10767.2
80 -79.9998 2358 -2758 1 -10767.2
82.5 -82.5006 2430 -2758 1 -10767.1
85 -85.0001 2506 -2758 1 -10767.1
87.5 -87.5003 2580 -2758 1 -10767.3
90 -89.9995 2656 -2758 1 -10767
92.5 -92.5008 2728 -2758 1 -10767.1
95 -95.0009 2801 -2758 1 -10767.3
97.5 -97.4991 2875 -2758 1 -10767.2
