Unit,Date,validated,used_for_range,DAC_VOLTAGE_GAIN_0,DAC_VOLTAGE_OFFSET_0,ADC_U_LOAD_GAIN_0,ADC_U_LOAD_OFFSET_0,ADC_U_REGULATOR_GAIN_0,ADC_U_REGULATOR_OFFSET_0,ADC_I_MON_GAIN_0,ADC_I_MON_OFFSET_0,DAC_CURRENT_GAIN_0,DAC_CURRENT_OFFSET_0,DAC_VOLTAGE_GAIN_1,DAC_VOLTAGE_OFFSET_1,ADC_U_LOAD_GAIN_1,ADC_U_LOAD_OFFSET_1,ADC_U_REGULATOR_GAIN_1,ADC_U_REGULATOR_OFFSET_1,ADC_I_MON_GAIN_1,ADC_I_MON_OFFSET_1,DAC_CURRENT_GAIN_1,DAC_CURRENT_OFFSET_1,DAC_VOLTAGE_GAIN_2,DAC_VOLTAGE_OFFSET_2,ADC_U_LOAD_GAIN_2,ADC_U_LOAD_OFFSET_2,ADC_U_REGULATOR_GAIN_2,ADC_U_REGULATOR_OFFSET_2,ADC_I_MON_GAIN_2,ADC_I_MON_OFFSET_2,DAC_CURRENT_GAIN_2,DAC_CURRENT_OFFSET_2,DAC_VOLTAGE_GAIN_3,DAC_VOLTAGE_OFFSET_3,ADC_U_LOAD_GAIN_3,ADC_U_LOAD_OFFSET_3,ADC_U_REGULATOR_GAIN_3,ADC_U_REGULATOR_OFFSET_3,ADC_I_MON_GAIN_3,ADC_I_MON_OFFSET_3,DAC_CURRENT_GAIN_3,DAC_CURRENT_OFFSET_3,DAC_VOLTAGE_GAIN_4,DAC_VOLTAGE_OFFSET_4,ADC_U_LOAD_GAIN_4,ADC_U_LOAD_OFFSET_4,ADC_U_REGULATOR_GAIN_4,ADC_U_REGULATOR_OFFSET_4,ADC_I_MON_GAIN_4,ADC_I_MON_OFFSET_4,DAC_CURRENT_GAIN_4,DAC_CURRENT_OFFSET_4,DAC_VOLTAGE_GAIN_5,DAC_VOLTAGE_OFFSET_5,ADC_U_LOAD_GAIN_5,ADC_U_LOAD_OFFSET_5,ADC_U_REGULATOR_GAIN_5,ADC_U_REGULATOR_OFFSET_5,ADC_I_MON_GAIN_5,ADC_I_MON_OFFSET_5,DAC_CURRENT_GAIN_5,DAC_CURRENT_OFFSET_5,DAC_VOLTAGE_GAIN_6,DAC_VOLTAGE_OFFSET_6,ADC_U_LOAD_GAIN_6,ADC_U_LOAD_OFFSET_6,ADC_U_REGULATOR_GAIN_6,ADC_U_REGULATOR_OFFSET_6,ADC_I_MON_GAIN_6,ADC_I_MON_OFFSET_6,DAC_CURRENT_GAIN_6,DAC_CURRENT_OFFSET_6,DAC_VOLTAGE_GAIN_7,DAC_VOLTAGE_OFFSET_7,ADC_U_LOAD_GAIN_7,ADC_U_LOAD_OFFSET_7,ADC_U_REGULATOR_GAIN_7,ADC_U_REGULATOR_OFFSET_7,ADC_I_MON_GAIN_7,ADC_I_MON_OFFSET_7,DAC_CURRENT_GAIN_7,DAC_CURRENT_OFFSET_7,DAC_VOLTAGE_GAIN_8,DAC_VOLTAGE_OFFSET_8,ADC_U_LOAD_GAIN_8,ADC_U_LOAD_OFFSET_8,ADC_U_REGULATOR_GAIN_8,ADC_U_REGULATOR_OFFSET_8,ADC_I_MON_GAIN_8,ADC_I_MON_OFFSET_8,DAC_CURRENT_GAIN_8,DAC_CURRENT_OFFSET_8,DAC_VOLTAGE_GAIN_9,DAC_VOLTAGE_OFFSET_9,ADC_U_LOAD_GAIN_9,ADC_U_LOAD_OFFSET_9,ADC_U_REGULATOR_GAIN_9,ADC_U_REGULATOR_OFFSET_9,ADC_I_MON_GAIN_9,ADC_I_MON_OFFSET_9,DAC_CURRENT_GAIN_9,DAC_CURRENT_OFFSET_9,DAC_VOLTAGE_GAIN_10,DAC_VOLTAGE_OFFSET_10,ADC_U_LOAD_GAIN_10,ADC_U_LOAD_OFFSET_10,ADC_U_REGULATOR_GAIN_10,ADC_U_REGULATOR_OFFSET_10,ADC_I_MON_GAIN_10,ADC_I_MON_OFFSET_10,DAC_CURRENT_GAIN_10,DAC_CURRENT_OFFSET_10,DAC_VOLTAGE_GAIN_11,DAC_VOLTAGE_OFFSET_11,ADC_U_LOAD_GAIN_11,ADC_U_LOAD_OFFSET_11,ADC_U_REGULATOR_GAIN_11,ADC_U_REGULATOR_OFFSET_11,ADC_I_MON_GAIN_11,ADC_I_MON_OFFSET_11,DAC_CURRENT_GAIN_11,DAC_CURRENT_OFFSET_11,DAC_VOLTAGE_GAIN_12,DAC_VOLTAGE_OFFSET_12,ADC_U_LOAD_GAIN_12,ADC_U_LOAD_OFFSET_12,ADC_U_REGULATOR_GAIN_12,ADC_U_REGULATOR_OFFSET_12,ADC_I_MON_GAIN_12,ADC_I_MON_OFFSET_12,DAC_CURRENT_GAIN_12,DAC_CURRENT_OFFSET_12,DAC_VOLTAGE_GAIN_13,DAC_VOLTAGE_OFFSET_13,ADC_U_LOAD_GAIN_13,ADC_U_LOAD_OFFSET_13,ADC_U_REGULATOR_GAIN_13,ADC_U_REGULATOR_OFFSET_13,ADC_I_MON_GAIN_13,ADC_I_MON_OFFSET_13,DAC_CURRENT_GAIN_13,DAC_CURRENT_OFFSET_13,DAC_VOLTAGE_GAIN_14,DAC_VOLTAGE_OFFSET_14,ADC_U_LOAD_GAIN_14,ADC_U_LOAD_OFFSET_14,ADC_U_REGULATOR_GAIN_14,ADC_U_REGULATOR_OFFSET_14,ADC_I_MON_GAIN_14,ADC_I_MON_OFFSET_14,DAC_CURRENT_GAIN_14,DAC_CURRENT_OFFSET_14,DAC_VOLTAGE_GAIN_15,DAC_VOLTAGE_OFFSET_15,ADC_U_LOAD_GAIN_15,ADC_U_LOAD_OFFSET_15,ADC_U_REGULATOR_GAIN_15,ADC_U_REGULATOR_OFFSET_15,ADC_I_MON_GAIN_15,ADC_I_MON_OFFSET_15,DAC_CURRENT_GAIN_15,DAC_CURRENT_OFFSET_15,DAC_VOLTAGE_GAIN_16,DAC_VOLTAGE_OFFSET_16,ADC_U_LOAD_GAIN_16,ADC_U_LOAD_OFFSET_16,ADC_U_REGULATOR_GAIN_16,ADC_U_REGULATOR_OFFSET_16,ADC_I_MON_GAIN_16,ADC_I_MON_OFFSET_16,DAC_CURRENT_GAIN_16,DAC_CURRENT_OFFSET_16,DAC_VOLTAGE_GAIN_17,DAC_VOLTAGE_OFFSET_17,ADC_U_LOAD_GAIN_17,ADC_U_LOAD_OFFSET_17,ADC_U_REGULATOR_GAIN_17,ADC_U_REGULATOR_OFFSET_17,ADC_I_MON_GAIN_17,ADC_I_MON_OFFSET_17,DAC_CURRENT_GAIN_17,DAC_CURRENT_OFFSET_17,DAC_VOLTAGE_GAIN_18,DAC_VOLTAGE_OFFSET_18,ADC_U_LOAD_GAIN_18,ADC_U_LOAD_OFFSET_18,ADC_U_REGULATOR_GAIN_18,ADC_U_REGULATOR_OFFSET_18,ADC_I_MON_GAIN_18,ADC_I_MON_OFFSET_18,DAC_CURRENT_GAIN_18,DAC_CURRENT_OFFSET_18,DAC_VOLTAGE_GAIN_19,DAC_VOLTAGE_OFFSET_19,ADC_U_LOAD_GAIN_19,ADC_U_LOAD_OFFSET_19,ADC_U_REGULATOR_GAIN_19,ADC_U_REGULATOR_OFFSET_19,ADC_I_MON_GAIN_19,ADC_I_MON_OFFSET_19,DAC_CURRENT_GAIN_19,DAC_CURRENT_OFFSET_19,DAC_VOLTAGE_GAIN_20,DAC_VOLTAGE_OFFSET_20,ADC_U_LOAD_GAIN_20,ADC_U_LOAD_OFFSET_20,ADC_U_REGULATOR_GAIN_20,ADC_U_REGULATOR_OFFSET_20,ADC_I_MON_GAIN_20,ADC_I_MON_OFFSET_20,DAC_CURRENT_GAIN_20,DAC_CURRENT_OFFSET_20,DAC_VOLTAGE_GAIN_21,DAC_VOLTAGE_OFFSET_21,ADC_U_LOAD_GAIN_21,ADC_U_LOAD_OFFSET_21,ADC_U_REGULATOR_GAIN_21,ADC_U_REGULATOR_OFFSET_21,ADC_I_MON_GAIN_21,ADC_I_MON_OFFSET_21,DAC_CURRENT_GAIN_21,DAC_CURRENT_OFFSET_21,DAC_VOLTAGE_GAIN_22,DAC_VOLTAGE_OFFSET_22,ADC_U_LOAD_GAIN_22,ADC_U_LOAD_OFFSET_22,ADC_U_REGULATOR_GAIN_22,ADC_U_REGULATOR_OFFSET_22,ADC_I_MON_GAIN_22,ADC_I_MON_OFFSET_22,DAC_CURRENT_GAIN_22,DAC_CURRENT_OFFSET_22,DAC_VOLTAGE_GAIN_23,DAC_VOLTAGE_OFFSET_23,ADC_U_LOAD_GAIN_23,ADC_U_LOAD_OFFSET_23,ADC_U_REGULATOR_GAIN_23,ADC_U_REGULATOR_OFFSET_23,ADC_I_MON_GAIN_23,ADC_I_MON_OFFSET_23,DAC_CURRENT_GAIN_23,DAC_CURRENT_OFFSET_23
34,2023-04-26,no,yes,10011,216,4643,-945,10002,-1031,-9996,-253,-10068,-498,10012,186,4644,-972,10002,-992,-150148,3413,-666,65,10010,202,4643,-966,9997,-955,-9928,-361,-10158,-125,10012,213,4645,-977,10001,-1035,-9922,-862,-10120,-1246,10015,241,4643,-630,9996,-642,-10000,-196,-10030,323,20026,317,4646,-644,4577,-710,-150462,8792,-668,136,10015,169,4648,-631,9999,-588,-10003,129,-10019,543,10016,239,4630,-661,10002,-665,-10007,-1025,9861,499,-41586,641343,2757,-497,1889,-446,-296852,226,659,-38,-41591,641633,2757,-571,1888,-547,-296924,-21,662,-41,-41594,641732,2757,-484,1889,-523,-296894,-181,657,-35,-41597,641635,2756,-481,1889,-526,-297276,-822,658,-30,21973,575,2605,-830,2590,-826,-296498,-1368,-668,26,-233086,-5094,431,393,429,-135,-1195,250,96771,113666,-21470,-496,2604,-782,2590,-795,-295993,-419,665,-27,43865,957,1818,-930,1808,-941,-295807,-1242,-673,-24,-41584,641050,2762,-163,3053,-171,-295749,-673,666,38,-41574,640873,2761,-191,3053,-186,-295556,-569,665,-52,-41576,641149,2762,-156,3053,-220,-295723,650,663,1,-41565,641002,2762,-139,3053,-286,-295315,1749,661,12,55681,1120,1479,-695,1479,-753,-294666,-1128,-679,32,-43041,-863,2554,-574,2554,-653,-294612,-541,660,-65,-43048,-918,2555,-503,2555,-653,-294204,89,662,10,55699,883,1479,-680,1479,-704,-294389,-701,-674,-58
35,2023-05-01,yes,yes,10014,171,4646,-607,9996,-658,-9975,138,-10102,-892,10014,155,4647,-620,10002,-675,-150111,3831,-674,68,10015,161,4645,-597,9999,-659,-9968,-724,-10122,600,10015,198,4643,-614,10004,-666,-10011,-408,-10060,-956,10014,188,4640,-985,9986,-961,-9926,-522,-10115,1153,20020,294,4640,-958,4574,-1070,-149985,8388,-671,41,10013,188,4642,-1009,9993,-1021,-9981,-241,-9990,-78,10015,216,4633,-1125,9993,-1101,-9965,-191,9940,327,-41599,641621,2756,-284,1888,-322,-296817,-387,658,24,-41607,641509,2757,-318,1888,-311,-295971,715,659,32,-41595,641600,2757,-322,1889,-308,-296559,408,661,64,-41605,641500,2757,-316,1889,-313,-296868,1475,658,-39,21966,317,2607,-902,2591,-889,-296183,-620,-673,19,-232911,-5585,431,-52,432,-288,-1193,642,97415,109990,-21468,-417,2605,-799,2591,-833,-296083,696,669,-20,43852,679,1818,-1028,1807,-952,-296127,-2708,-672,64,-41567,640999,2756,-533,3047,-600,-295093,300,665,3,-41577,641028,2756,-557,3047,-583,-294504,277,664,-51,-41572,640649,2757,-516,3048,-545,-295324,-679,662,-16,-41574,640904,2756,-549,3047,-629,-294731,58,660,23,55738,963,1483,-487,1483,-552,-295654,535,-673,-24,-43060,-767,2561,-391,2559,-485,-295453,-134,658,-10,-43064,-787,2561,-347,2559,-519,-295653,-744,661,42,55715,926,1483,-484,1483,-605,-295494,-424,-673,-20
37,2023-04-25,yes,yes,10017,133,4644,-727,10000,-669,-10034,-122,-9987,-225,10018,102,4645,-726,10003,-744,-150358,3564,-670,127,10016,150,4645,-712,10000,-680,-10021,-205,-10027,474,10022,182,4651,-756,10011,-780,-9963,-765,-10090,-682,10016,152,4640,-452,9995,-442,-9988,-26,-10063,282,20025,393,4644,-476,4575,-577,-150069,9168,-668,116,10013,149,4643,-466,9994,-518,-10016,72,-10045,-232,10015,221,4669,-1001,9998,-538,-10012,-366,9895,277,-41572,641005,2758,-899,1889,-915,-296563,-496,658,3,-41571,641212,2757,-896,1889,-850,-296203,-1087,661,23,-41580,641059,2757,-866,1889,-875,-296526,69,659,33,-41578,641178,2758,-863,1888,-889,-295779,-317,662,52,21979,431,2609,-786,2593,-865,-296868,895,-673,-6,-233101,-4828,432,-1117,431,-76,-1197,4470,96854,120730,-21479,-424,2608,-698,2593,-727,-296486,281,667,28,43857,794,1820,-801,1809,-792,-296398,-141,-669,-38,-41554,640466,2758,-326,3048,-353,-295012,-512,663,-21,-41563,640987,2758,-323,3049,-352,-295108,45,658,-41,-41559,640530,2759,-326,3048,-346,-295105,1013,660,5,-41562,640702,2758,-317,3049,-334,-294978,-898,659,-31,55688,844,1481,-559,1481,-668,-294788,-41,-677,-11,-43053,-908,2558,-424,2557,-536,-295304,37,658,63,-43041,-779,2556,-511,2556,-559,-295191,361,657,-28,55674,1040,1481,-553,1481,-695,-295183,2161,-668,8
38,2023-04-27,no,yes,10016,109,4636,-863,10000,-1017,-10006,121,-10101,586,10015,96,4645,-975,9999,-954,-150030,3692,-670,41,10017,208,4646,-939,10001,-1033,-10035,-478,-10036,-29,10018,100,4652,-1013,9995,-958,-9975,-229,-10082,-562,10016,161,4645,-774,9978,-805,-9959,8,-10010,438,20031,291,4638,-739,4569,-767,-150016,8388,-666,108,10014,209,4637,-756,9986,-816,-9992,-519,-10082,149,10015,230,4635,-987,9987,-798,-9929,-549,9968,80,-41599,641602,2758,-550,1888,-615,-296419,154,660,-9,-41608,641445,2756,-586,1888,-604,-296169,-582,660,-26,-41608,641600,2756,-582,1887,-649,-296735,284,656,68,-41605,641421,2756,-575,1888,-570,-296014,-488,655,-27,21958,393,2610,-722,2595,-715,-296772,-470,-673,44,-232989,-4121,434,1112,432,-69,-1196,3832,96449,114756,-21472,-357,2608,-520,2594,-567,-296014,-662,666,-37,43850,623,1821,-677,1810,-674,-297625,415,-669,12,-41578,640979,2747,-628,3037,-729,-293920,-72,662,40,-41603,641129,2747,-728,3037,-779,-293580,0,660,-16,-41587,641197,2748,-696,3037,-789,-293995,-1061,664,2,-41571,640790,2747,-723,3037,-712,-293813,-336,663,-17,55653,992,1480,-736,1481,-707,-294710,-14,-678,93,-43015,-997,2556,-686,2556,-580,-294888,-1572,665,0,-43015,-961,2556,-618,2556,-640,-295060,-68,661,39,55665,1037,1481,-716,1481,-745,-294976,165,-674,-111
39,2023-04-27,no,yes,10017,211,4644,-523,9989,-612,-9949,-99,-10143,93,10014,135,4639,-558,9994,-596,-150067,3680,-668,20,10014,145,4640,-496,9989,-533,-10011,17,-10048,816,10015,174,4642,-542,9992,-503,-9935,-384,-10137,299,10012,192,4640,-808,9987,-822,-9989,-339,-10047,-171,20022,415,4641,-759,4573,-884,-150144,8237,-669,63,10012,117,4642,-859,9989,-788,-9944,131,-9998,-246,10013,178,4644,-1129,9984,-768,-10000,-707,9894,458,-41593,641374,2758,-530,1889,-477,-296909,104,659,51,-41599,641508,2758,-476,1889,-473,-296866,83,657,-25,-41602,641544,2758,-498,1890,-537,-296696,107,656,-50,-41599,641521,2758,-608,1889,-556,-297019,439,662,-19,21966,3381,2608,-430,2593,-1098,-296124,-977,-674,22,-232986,-3752,434,1763,431,268,-1196,5851,98014,56587,-21471,-413,2607,-250,2592,-246,-296765,-953,667,33,43840,812,1820,-473,1809,-319,-296427,-934,-670,4,-41566,640847,2753,-578,3043,-611,-294706,70,661,-33,-41574,640871,2753,-592,3044,-610,-294327,26,662,35,-41572,640941,2753,-641,3043,-634,-294612,-1899,664,58,-41580,641078,2754,-594,3043,-595,-294356,-1668,666,-5,55716,922,1480,-800,1480,-844,-294419,-1046,-677,41,-43034,-965,2557,-672,2555,-831,-294560,-716,660,-7,-43052,-990,2556,-713,2555,-739,-295107,-178,659,-69,55713,782,1480,-820,1480,-900,-294974,781,-669,-2
41,2023-07-26,yes,yes,10013,227,4641,-1078,9980,-956,-10005,-527,-10041,-446,10014,202,4638,-956,9984,-1011,-149769,3192,-672,72,10015,119,4639,-951,9989,-1079,-9905,-846,-10173,545,10015,216,4638,-960,9980,-980,-9893,-468,-10216,483,10016,212,4648,-917,9996,-954,-10020,-467,-10073,760,20033,293,4643,-913,4578,-1046,-150574,8008,-665,150,10015,235,4642,-911,9996,-944,-10023,-451,-10006,125,10015,204,4661,-1398,9995,-978,-9922,-756,9949,458,-41592,641386,2756,-641,1888,-628,-295720,64,658,-43,-41605,641409,2756,-603,1888,-561,-295951,-155,660,-59,-41596,641780,2756,-649,1889,-610,-296030,317,653,-6,-41589,641590,2756,-648,1888,-594,-296592,967,659,46,21976,488,2607,-652,2593,-692,-296717,-1203,-676,59,-233137,-5316,434,1311,430,-90,-1198,4688,96385,129318,-21466,-375,2608,-566,2593,-668,-297021,-168,666,-1,43856,719,1819,-734,1810,-793,-297494,206,-669,29,-41582,640912,2758,-301,3049,-410,-294967,1081,661,6,-41587,641240,2759,-280,3048,-382,-294879,-35,658,2,-41567,641013,2759,-280,3049,-336,-294739,-29,664,3,-41582,641091,2758,-390,3049,-369,-295149,-211,662,22,55692,1078,1482,-634,1482,-635,-295002,2112,-671,15,-43041,-932,2560,-543,2559,-505,-294924,-1176,665,14,-43060,-1002,2559,-571,2558,-475,-295209,1328,666,-34,55690,966,1483,-689,1482,-670,-295243,548,-670,65
45,2023-04-27,yes,yes,10014,215,4638,-792,9991,-781,-9979,-409,-10054,417,10013,95,4640,-782,9991,-861,-149952,2889,-662,75,10015,203,4647,-868,9990,-863,-10028,-531,-9926,-429,10015,137,4645,-850,9990,-836,-9956,-426,-10172,990,10014,184,4641,-810,9991,-919,-10041,-528,-10048,-851,20030,381,4643,-850,4576,-878,-150056,8180,-670,37,10014,127,4646,-841,9997,-908,-10010,-513,-10038,-702,10015,234,4640,-1189,9996,-918,-9976,-274,9917,596,-41606,641729,2760,-539,1891,-475,-297026,-2147,657,-43,-41600,641599,2760,-511,1891,-513,-296616,-457,655,8,-41601,641883,2760,-481,1891,-521,-296948,909,657,0,-41595,641613,2760,-456,1891,-455,-296881,-734,657,-40,21965,469,2607,-648,2591,-627,-296197,-1302,-669,-8,-233007,-5311,430,683,430,28,-1197,2587,98491,49045,-21469,-326,2606,-550,2592,-479,-296174,-442,665,-35,43853,698,1818,-632,1808,-724,-295898,-2846,-670,0,-41558,640794,2756,-546,3047,-576,-294712,-526,661,-11,-41577,640740,2757,-521,3046,-563,-294899,-694,662,13,-41577,640801,2756,-544,3047,-558,-294944,218,663,-20,-41572,640993,2756,-515,3047,-645,-294843,-311,660,-9,55693,991,1481,-600,1481,-725,-295125,435,-670,42,-43038,-898,2558,-459,2558,-588,-294654,261,667,3,-43041,-948,2559,-500,2557,-607,-295279,-1120,658,-41,55682,1261,1482,-752,1482,-781,-294546,-1280,-676,4
50,2023-05-01,yes,yes,10010,134,4642,-605,9982,-551,-9986,60,-10019,-284,10011,212,4639,-627,9990,-644,-149920,3675,-667,132,10012,100,4637,-555,9981,-572,-9999,-156,-10046,-289,10013,235,4639,-587,9986,-588,-9967,102,-10046,-410,10015,226,4642,-724,9998,-834,-9932,-663,-10096,-271,20027,376,4642,-717,4574,-791,-150044,8558,-674,71,10014,196,4641,-699,9989,-713,-9992,-223,-10033,-307,10012,170,4655,-1066,9994,-772,-9902,-805,9900,1277,-41588,641521,2758,-185,1889,-185,-296934,8,652,2,-41590,641316,2757,-205,1889,-202,-297052,-1276,665,7,-41592,641679,2757,-161,1889,-249,-296338,-204,661,-9,-41593,641223,2758,-204,1889,-225,-296456,-464,660,46,21968,398,2606,-709,2591,-755,-296629,-1799,-670,-16,-232867,-4403,433,318,436,-124,-1196,2220,96386,128275,-21479,-334,2605,-720,2590,-681,-296334,171,665,18,43851,728,1818,-801,1809,-841,-296583,-1611,-670,-86,-41604,641052,2759,-132,3049,-121,-295079,-84,664,-12,-41603,641203,2758,-107,3049,-107,-295096,1519,658,7,-41584,640895,2758,-94,3049,-135,-295152,559,664,-55,-41586,641184,2758,-68,3049,-81,-295593,-229,662,16,55702,922,1480,-692,1481,-748,-294882,791,-676,-34,-43044,-622,2557,-401,2555,-597,-295081,764,663,-7,-43069,-735,2557,-600,2556,-566,-294562,-267,669,-88,55710,1051,1481,-686,1480,-772,-294861,900,-674,35
52,2023-04-24,yes,yes,10015,211,4649,-545,10001,-574,-9981,-117,-10031,-588,10014,159,4652,-588,10005,-605,-150147,3790,-671,143,10015,230,4650,-557,10001,-514,-9989,73,-9965,-196,10016,229,4646,-507,9999,-483,-9941,-285,-10148,478,10015,183,4646,-761,9995,-785,-9948,-621,-10151,173,20026,355,4645,-819,4575,-810,-150339,8891,-669,-17,10013,222,4646,-813,9992,-800,-9994,-662,-9970,-582,10012,160,4646,-1113,9991,-728,-9967,-564,9830,693,-41595,641649,2756,-536,1889,-445,-296399,395,660,-46,-41591,641577,2755,-526,1889,-489,-296723,1059,661,-15,-41595,641482,2757,-392,1888,-453,-296621,-1209,662,-40,-41585,641351,2757,-406,1889,-416,-296887,-943,660,-77,21962,473,2605,-704,2591,-689,-296468,-29,-672,-5,-232462,-4937,430,378,432,-162,-1195,4976,96000,119788,-21474,-479,2605,-530,2588,-616,-296271,327,667,-33,43858,721,1817,-580,1807,-576,-296174,-1458,-665,-26,-41591,640953,2757,-691,3047,-737,-294853,-630,666,-4,-41581,640915,2756,-660,3048,-768,-294318,-271,668,22,-41569,640770,2757,-701,3048,-669,-294949,-1122,665,-50,-41582,640870,2757,-716,3047,-721,-295075,2249,659,-12,55698,980,1481,-833,1481,-918,-295342,-189,-671,-6,-43041,-787,2557,-721,2556,-852,-295199,-1249,661,27,-43050,-936,2557,-760,2556,-814,-295353,-1492,661,-28,55705,810,1482,-903,1482,-931,-295650,2218,-674,6
53,2023-04-21,yes,yes,10015,144,4642,-873,9987,-887,-10013,-49,-10047,-650,10015,209,4637,-866,9989,-912,-149972,3934,-669,111,10016,137,4642,-916,9989,-973,-10013,-365,-9992,-432,10014,179,4641,-849,9988,-926,-9975,-476,-10068,293,10018,144,4641,-822,9988,-885,-9999,-523,-10039,-119,20035,274,4644,-884,4576,-855,-149742,8943,-668,86,10015,172,4645,-883,9999,-946,-9948,-300,-10032,1342,10018,148,4637,-1021,10002,-958,-9925,-598,9994,176,-41593,641435,2759,-179,1890,-297,-297028,11,658,-1,-41589,641331,2759,-248,1891,-214,-297629,-62,650,-39,-41597,641359,2758,-241,1890,-267,-297049,-59,651,24,-41593,641514,2759,-259,1890,-269,-297065,-1224,660,-39,21973,554,2605,-506,2593,-598,-296664,412,-674,57,-233022,-5101,431,303,431,389,-1198,4915,96583,119954,-21475,-471,2605,-502,2591,-393,-296753,766,670,9,43865,703,1819,-593,1808,-591,-296680,1633,-666,-12,-41590,641220,2754,-870,3045,-869,-294967,-743,662,-6,-41579,640764,2754,-806,3045,-854,-294823,689,661,-1,-41589,641222,2755,-804,3045,-819,-294777,-968,663,-47,-41575,640905,2753,-832,3045,-858,-295381,-2341,660,26,55712,1056,1485,-626,1485,-592,-296102,-96,-674,-34,-43043,-799,2565,-425,2563,-498,-295758,296,659,35,-43057,-849,2564,-443,2562,-538,-295954,-744,666,22,55701,1007,1485,-655,1485,-620,-296249,2180,-668,13
