Unit,Date,validated,used_for_range,DAC_VOLTAGE_GAIN_0,DAC_VOLTAGE_OFFSET_0,ADC_U_LOAD_GAIN_0,ADC_U_LOAD_OFFSET_0,ADC_U_REGULATOR_GAIN_0,ADC_U_REGULATOR_OFFSET_0,ADC_I_MON_GAIN_0,ADC_I_MON_OFFSET_0,DAC_CURRENT_GAIN_0,DAC_CURRENT_OFFSET_0,DAC_VOLTAGE_GAIN_1,DAC_VOLTAGE_OFFSET_1,ADC_U_LOAD_GAIN_1,ADC_U_LOAD_OFFSET_1,ADC_U_REGULATOR_GAIN_1,ADC_U_REGULATOR_OFFSET_1,ADC_I_MON_GAIN_1,ADC_I_MON_OFFSET_1,DAC_CURRENT_GAIN_1,DAC_CURRENT_OFFSET_1,DAC_VOLTAGE_GAIN_2,DAC_VOLTAGE_OFFSET_2,ADC_U_LOAD_GAIN_2,ADC_U_LOAD_OFFSET_2,ADC_U_REGULATOR_GAIN_2,ADC_U_REGULATOR_OFFSET_2,ADC_I_MON_GAIN_2,ADC_I_MON_OFFSET_2,DAC_CURRENT_GAIN_2,DAC_CURRENT_OFFSET_2,DAC_VOLTAGE_GAIN_3,DAC_VOLTAGE_OFFSET_3,ADC_U_LOAD_GAIN_3,ADC_U_LOAD_OFFSET_3,ADC_U_REGULATOR_GAIN_3,ADC_U_REGULATOR_OFFSET_3,ADC_I_MON_GAIN_3,ADC_I_MON_OFFSET_3,DAC_CURRENT_GAIN_3,DAC_CURRENT_OFFSET_3,DAC_VOLTAGE_GAIN_4,DAC_VOLTAGE_OFFSET_4,ADC_U_LOAD_GAIN_4,ADC_U_LOAD_OFFSET_4,ADC_U_REGULATOR_GAIN_4,ADC_U_REGULATOR_OFFSET_4,ADC_I_MON_GAIN_4,ADC_I_MON_OFFSET_4,DAC_CURRENT_GAIN_4,DAC_CURRENT_OFFSET_4,DAC_VOLTAGE_GAIN_5,DAC_VOLTAGE_OFFSET_5,ADC_U_LOAD_GAIN_5,ADC_U_LOAD_OFFSET_5,ADC_U_REGULATOR_GAIN_5,ADC_U_REGULATOR_OFFSET_5,ADC_I_MON_GAIN_5,ADC_I_MON_OFFSET_5,DAC_CURRENT_GAIN_5,DAC_CURRENT_OFFSET_5,DAC_VOLTAGE_GAIN_6,DAC_VOLTAGE_OFFSET_6,ADC_U_LOAD_GAIN_6,ADC_U_LOAD_OFFSET_6,ADC_U_REGULATOR_GAIN_6,ADC_U_REGULATOR_OFFSET_6,ADC_I_MON_GAIN_6,ADC_I_MON_OFFSET_6,DAC_CURRENT_GAIN_6,DAC_CURRENT_OFFSET_6,DAC_VOLTAGE_GAIN_7,DAC_VOLTAGE_OFFSET_7,ADC_U_LOAD_GAIN_7,ADC_U_LOAD_OFFSET_7,ADC_U_REGULATOR_GAIN_7,ADC_U_REGULATOR_OFFSET_7,ADC_I_MON_GAIN_7,ADC_I_MON_OFFSET_7,DAC_CURRENT_GAIN_7,DAC_CURRENT_OFFSET_7,DAC_VOLTAGE_GAIN_8,DAC_VOLTAGE_OFFSET_8,ADC_U_LOAD_GAIN_8,ADC_U_LOAD_OFFSET_8,ADC_U_REGULATOR_GAIN_8,ADC_U_REGULATOR_OFFSET_8,ADC_I_MON_GAIN_8,ADC_I_MON_OFFSET_8,DAC_CURRENT_GAIN_8,DAC_CURRENT_OFFSET_8,DAC_VOLTAGE_GAIN_9,DAC_VOLTAGE_OFFSET_9,ADC_U_LOAD_GAIN_9,ADC_U_LOAD_OFFSET_9,ADC_U_REGULATOR_GAIN_9,ADC_U_REGULATOR_OFFSET_9,ADC_I_MON_GAIN_9,ADC_I_MON_OFFSET_9,DAC_CURRENT_GAIN_9,DAC_CURRENT_OFFSET_9,DAC_VOLTAGE_GAIN_10,DAC_VOLTAGE_OFFSET_10,ADC_U_LOAD_GAIN_10,ADC_U_LOAD_OFFSET_10,ADC_U_REGULATOR_GAIN_10,ADC_U_REGULATOR_OFFSET_10,ADC_I_MON_GAIN_10,ADC_I_MON_OFFSET_10,DAC_CURRENT_GAIN_10,DAC_CURRENT_OFFSET_10,DAC_VOLTAGE_GAIN_11,DAC_VOLTAGE_OFFSET_11,ADC_U_LOAD_GAIN_11,ADC_U_LOAD_OFFSET_11,ADC_U_REGULATOR_GAIN_11,ADC_U_REGULATOR_OFFSET_11,ADC_I_MON_GAIN_11,ADC_I_MON_OFFSET_11,DAC_CURRENT_GAIN_11,DAC_CURRENT_OFFSET_11,DAC_VOLTAGE_GAIN_12,DAC_VOLTAGE_OFFSET_12,ADC_U_LOAD_GAIN_12,ADC_U_LOAD_OFFSET_12,ADC_U_REGULATOR_GAIN_12,ADC_U_REGULATOR_OFFSET_12,ADC_I_MON_GAIN_12,ADC_I_MON_OFFSET_12,DAC_CURRENT_GAIN_12,DAC_CURRENT_OFFSET_12,DAC_VOLTAGE_GAIN_13,DAC_VOLTAGE_OFFSET_13,ADC_U_LOAD_GAIN_13,ADC_U_LOAD_OFFSET_13,ADC_U_REGULATOR_GAIN_13,ADC_U_REGULATOR_OFFSET_13,ADC_I_MON_GAIN_13,ADC_I_MON_OFFSET_13,DAC_CURRENT_GAIN_13,DAC_CURRENT_OFFSET_13,DAC_VOLTAGE_GAIN_14,DAC_VOLTAGE_OFFSET_14,ADC_U_LOAD_GAIN_14,ADC_U_LOAD_OFFSET_14,ADC_U_REGULATOR_GAIN_14,ADC_U_REGULATOR_OFFSET_14,ADC_I_MON_GAIN_14,ADC_I_MON_OFFSET_14,DAC_CURRENT_GAIN_14,DAC_CURRENT_OFFSET_14,DAC_VOLTAGE_GAIN_15,DAC_VOLTAGE_OFFSET_15,ADC_U_LOAD_GAIN_15,ADC_U_LOAD_OFFSET_15,ADC_U_REGULATOR_GAIN_15,ADC_U_REGULATOR_OFFSET_15,ADC_I_MON_GAIN_15,ADC_I_MON_OFFSET_15,DAC_CURRENT_GAIN_15,DAC_CURRENT_OFFSET_15,DAC_VOLTAGE_GAIN_16,DAC_VOLTAGE_OFFSET_16,ADC_U_LOAD_GAIN_16,ADC_U_LOAD_OFFSET_16,ADC_U_REGULATOR_GAIN_16,ADC_U_REGULATOR_OFFSET_16,ADC_I_MON_GAIN_16,ADC_I_MON_OFFSET_16,DAC_CURRENT_GAIN_16,DAC_CURRENT_OFFSET_16,DAC_VOLTAGE_GAIN_17,DAC_VOLTAGE_OFFSET_17,ADC_U_LOAD_GAIN_17,ADC_U_LOAD_OFFSET_17,ADC_U_REGULATOR_GAIN_17,ADC_U_REGULATOR_OFFSET_17,ADC_I_MON_GAIN_17,ADC_I_MON_OFFSET_17,DAC_CURRENT_GAIN_17,DAC_CURRENT_OFFSET_17,DAC_VOLTAGE_GAIN_18,DAC_VOLTAGE_OFFSET_18,ADC_U_LOAD_GAIN_18,ADC_U_LOAD_OFFSET_18,ADC_U_REGULATOR_GAIN_18,ADC_U_REGULATOR_OFFSET_18,ADC_I_MON_GAIN_18,ADC_I_MON_OFFSET_18,DAC_CURRENT_GAIN_18,DAC_CURRENT_OFFSET_18,DAC_VOLTAGE_GAIN_19,DAC_VOLTAGE_OFFSET_19,ADC_U_LOAD_GAIN_19,ADC_U_LOAD_OFFSET_19,ADC_U_REGULATOR_GAIN_19,ADC_U_REGULATOR_OFFSET_19,ADC_I_MON_GAIN_19,ADC_I_MON_OFFSET_19,DAC_CURRENT_GAIN_19,DAC_CURRENT_OFFSET_19,DAC_VOLTAGE_GAIN_20,DAC_VOLTAGE_OFFSET_20,ADC_U_LOAD_GAIN_20,ADC_U_LOAD_OFFSET_20,ADC_U_REGULATOR_GAIN_20,ADC_U_REGULATOR_OFFSET_20,ADC_I_MON_GAIN_20,ADC_I_MON_OFFSET_20,DAC_CURRENT_GAIN_20,DAC_CURRENT_OFFSET_20,DAC_VOLTAGE_GAIN_21,DAC_VOLTAGE_OFFSET_21,ADC_U_LOAD_GAIN_21,ADC_U_LOAD_OFFSET_21,ADC_U_REGULATOR_GAIN_21,ADC_U_REGULATOR_OFFSET_21,ADC_I_MON_GAIN_21,ADC_I_MON_OFFSET_21,DAC_CURRENT_GAIN_21,DAC_CURRENT_OFFSET_21,DAC_VOLTAGE_GAIN_22,DAC_VOLTAGE_OFFSET_22,ADC_U_LOAD_GAIN_22,ADC_U_LOAD_OFFSET_22,ADC_U_REGULATOR_GAIN_22,ADC_U_REGULATOR_OFFSET_22,ADC_I_MON_GAIN_22,ADC_I_MON_OFFSET_22,DAC_CURRENT_GAIN_22,DAC_CURRENT_OFFSET_22,DAC_VOLTAGE_GAIN_23,DAC_VOLTAGE_OFFSET_23,ADC_U_LOAD_GAIN_23,ADC_U_LOAD_OFFSET_23,ADC_U_REGULATOR_GAIN_23,ADC_U_REGULATOR_OFFSET_23,ADC_I_MON_GAIN_23,ADC_I_MON_OFFSET_23,DAC_CURRENT_GAIN_23,DAC_CURRENT_OFFSET_23
105,2023-02-23,no,yes,10007,132,4644,-1102,9984,-1057,-10157,-1353,-9940,-1132,10009,119,4640,-1041,9990,-1111,-149383,3497,-665,51,10010,282,4642,-1080,9983,-1028,-10015,-327,-9933,896,10009,216,4634,-1032,9987,-1095,-10053,-1190,-10020,188,10006,203,4637,-990,9989,-1077,-10048,-413,-9992,-757,20011,296,4638,-1001,4572,-1081,-150483,7713,-667,48,10008,139,4637,-1024,9982,-978,-10017,-642,-9988,218,10007,209,4620,-1098,9993,-1051,-10040,-1299,9788,874,-41566,640756,2756,-555,1887,-546,-293947,557,667,58,-41572,640768,2755,-564,1887,-537,-295192,-1151,658,-11,-41569,640610,2755,-586,1887,-558,-295570,-281,660,-9,-41563,640674,2755,-594,1887,-611,-295152,-1084,661,-1,21965,567,2608,-431,2594,-454,-296335,-1276,-674,12,-232829,-6446,432,694,435,-44,-1201,901,95672,115276,-21478,-388,2607,-334,2593,-335,-296586,201,671,21,43845,832,1817,-453,1808,-440,-296446,298,-669,25,-41550,640497,2754,-252,3045,-242,-295351,-653,664,-14,-41555,640512,2754,-284,3046,-249,-295183,125,661,-18,-41543,640533,2755,-220,3046,-262,-294779,-602,665,22,-41555,640680,2754,-230,3046,-262,-294967,-186,664,-6,55703,860,1480,-527,1479,-486,-296099,-1412,-669,-4,-43053,-1124,2556,-228,2555,-417,-296977,-2002,663,12,-43089,-902,2556,-332,2555,-322,-296557,1069,653,-51,55700,894,1480,-475,1480,-508,-294794,-3622,-674,-9
105,2023-02-22,yes,yes,10008,104,4642,-1061,9990,-1093,-10026,-541,-9939,-1152,10010,87,4643,-1030,9989,-1060,-149739,3754,-665,54,10011,254,4641,-1040,9990,-1103,-10121,-1082,-9930,877,10009,211,4639,-1092,9991,-1107,-10057,-1185,-10019,205,10006,186,4640,-1023,9992,-1105,-10058,-478,-9995,-714,20010,267,4639,-1015,4572,-1098,-150142,8036,-667,51,10009,132,4640,-1069,9989,-1064,-10054,-660,-9986,245,10008,188,4638,-1186,9990,-1019,-10042,-1233,9795,848,-41568,640830,2755,-521,1887,-528,-294178,477,667,61,-41574,640843,2755,-549,1887,-534,-295326,-1325,657,-9,-41571,640705,2755,-540,1887,-565,-295822,-517,659,-7,-41565,640758,2755,-559,1887,-590,-295441,-1313,661,1,21964,496,2609,-414,2594,-433,-296358,-1396,-674,15,-232850,-6137,431,667,435,53,-1202,1088,95659,115777,-21480,-357,2608,-291,2593,-305,-296015,-44,671,21,43845,685,1818,-483,1807,-401,-296064,663,-669,26,-41552,640576,2754,-241,3045,-216,-295151,-852,663,-12,-41556,640589,2755,-217,3045,-247,-295431,-135,660,-16,-41544,640608,2754,-211,3045,-243,-295021,-969,664,24,-41556,640759,2755,-224,3045,-242,-294897,-404,663,-4,55701,723,1480,-514,1480,-530,-296611,-1311,-669,-1,-43056,-1055,2555,-326,2555,-383,-294022,-1528,663,13,-43091,-837,2556,-333,2555,-332,-296448,1149,653,-50,55699,752,1480,-477,1480,-525,-294390,-3651,-674,-6
105,2023-02-10,no,yes,10008,107,4637,-1048,9989,-1114,-10009,-889,-9943,-1235,10009,90,4639,-1015,9989,-1090,-150170,-576,-666,-29,10011,254,4643,-1084,9993,-1152,-10094,-1574,-9935,793,10009,214,4638,-1068,9992,-1139,-10043,-1330,-10025,117,10006,186,4626,-908,9990,-1062,-10048,-667,-9997,-800,20011,263,4637,-927,4573,-1120,-149921,-1291,-667,-35,10009,130,4646,-1229,9990,-1068,-10078,-1388,-9990,155,10007,195,4630,-1057,9988,-1019,-10039,-1258,9795,846,-41567,640847,2755,-554,1887,-519,-294140,500,667,60,-41573,640862,2755,-539,1887,-541,-295281,-1196,658,-9,-41570,640712,2755,-552,1887,-560,-295753,-158,659,-7,-41564,640778,2755,-580,1887,-589,-295303,-1101,661,1,21965,504,2609,-423,2594,-450,-296259,-1219,-674,15,-232841,-5969,431,628,435,144,-1199,954,95634,116097,-21480,-342,2609,-266,2594,-295,-296446,647,671,21,43846,711,1818,-453,1808,-466,-295995,386,-669,26,-41549,640557,2755,-205,3046,-212,-295127,-793,663,-12,-41553,640569,2754,-261,3046,-252,-295596,71,660,-15,-41543,640608,2754,-211,3045,-270,-294889,-767,664,24,-41553,640734,2755,-209,3046,-229,-294211,222,663,-5,55702,715,1480,-455,1480,-502,-296566,-1735,-669,-1,-43053,-1034,2556,-274,2555,-398,-295977,-1275,663,13,-43084,-804,2555,-388,2555,-366,-296003,2181,653,-49,55699,750,1480,-499,1480,-533,-295294,-3872,-674,-5
105,2023-02-25,yes,yes,10008,113,4640,-1046,9986,-1061,-10021,-624,-9939,-1143,10009,97,4638,-1005,9988,-1074,-150914,3226,-665,55,10011,262,4638,-1029,9988,-1106,-10114,-1287,-9930,885,10009,216,4638,-1090,9991,-1124,-10056,-1205,-10019,205,10006,194,4638,-997,9992,-1111,-10049,-426,-9994,-714,20013,266,4638,-1024,4572,-1121,-149946,7781,-667,52,10009,137,4641,-1091,9988,-1045,-10082,-848,-9985,244,10007,198,4638,-1201,9990,-1030,-10037,-1286,9792,850,-41567,640878,2755,-565,1887,-539,-294000,494,667,60,-41572,640894,2755,-555,1887,-572,-295260,-1223,658,-9,-41569,640741,2755,-571,1887,-587,-295760,-273,659,-6,-41563,640806,2755,-571,1887,-606,-295318,-1190,661,1,21965,518,2609,-437,2594,-448,-296891,-1461,-674,14,-232821,-5700,432,658,435,89,-1199,735,95594,116023,-21478,-318,2609,-302,2594,-353,-296266,261,671,22,43846,742,1818,-458,1808,-454,-295041,138,-669,26,-41550,640631,2755,-230,3046,-223,-294536,-729,664,-12,-41554,640634,2755,-247,3046,-255,-295930,-199,660,-14,-41543,640658,2755,-241,3046,-282,-294808,-784,665,24,-41554,640799,2755,-217,3046,-256,-294290,-191,663,-4,55705,720,1480,-538,1480,-572,-297711,-1510,-669,-1,-43051,-984,2556,-289,2555,-433,-293954,-1604,663,14,-43087,-760,2556,-362,2554,-408,-297494,1519,653,-49,55702,746,1480,-460,1480,-523,-296143,-3423,-674,-5
105,2023-02-24,yes,yes,10008,106,4643,-1092,9985,-1063,-10006,-554,-9939,-1152,10010,90,4640,-1035,9986,-1047,-149171,3882,-665,54,10011,253,4644,-1083,9988,-1088,-10059,-671,-9930,879,10009,212,4637,-1070,9994,-1148,-10052,-1187,-10018,202,10006,189,4639,-1020,9989,-1092,-10051,-428,-9994,-714,20011,269,4638,-981,4573,-1109,-150166,7963,-667,51,10009,133,4640,-1061,9987,-1025,-10047,-601,-9985,247,10008,191,4634,-1167,9986,-1004,-10037,-1272,9795,849,-41568,640843,2755,-540,1887,-529,-293996,488,667,61,-41573,640858,2755,-558,1887,-553,-295427,-1325,658,-9,-41571,640715,2755,-566,1887,-581,-295680,-373,659,-7,-41564,640772,2755,-573,1887,-590,-295434,-1323,661,1,21964,506,2609,-438,2594,-470,-295760,-1105,-674,15,-232837,-5983,431,615,435,55,-1198,843,95631,115887,-21479,-340,2608,-310,2594,-303,-296794,-42,671,21,43845,705,1818,-472,1807,-413,-295672,285,-669,26,-41551,640592,2754,-245,3045,-229,-295394,-929,663,-12,-41555,640602,2754,-261,3046,-224,-295312,-234,660,-15,-41544,640626,2754,-206,3046,-265,-295015,-783,664,24,-41555,640774,2755,-239,3046,-257,-294637,-191,663,-4,55703,717,1480,-498,1480,-582,-295857,-1495,-669,-1,-43054,-1034,2555,-321,2555,-350,-297186,-1370,663,13,-43089,-805,2555,-370,2554,-408,-295673,1539,653,-50,55700,750,1480,-496,1480,-513,-296044,-2873,-674,-6
105,2023-02-22,yes,yes,10008,106,4642,-1082,9989,-1101,-10062,-713,-9939,-1150,10009,88,4637,-995,9989,-1096,-149905,3868,-665,54,10011,254,4641,-1056,9987,-1068,-10078,-757,-9930,878,10009,211,4639,-1089,9988,-1095,-10054,-1176,-10019,204,10006,187,4638,-1011,9994,-1122,-10055,-440,-9996,-715,20010,267,4639,-1039,4573,-1113,-149939,8201,-667,51,10009,132,4642,-1078,9990,-1060,-10051,-639,-9985,241,10007,188,4643,-1291,9989,-1025,-10042,-1228,9795,848,-41568,640825,2755,-516,1887,-524,-294168,491,667,61,-41573,640839,2755,-539,1887,-533,-295465,-1338,657,-9,-41571,640698,2755,-542,1887,-569,-295941,-448,659,-7,-41564,640757,2755,-554,1887,-585,-295370,-1209,661,1,21964,495,2608,-367,2594,-425,-296533,-1242,-674,15,-232848,-6126,431,691,435,7,-1199,927,95656,115827,-21480,-356,2608,-280,2593,-358,-296598,171,671,21,43845,688,1817,-432,1808,-434,-295252,248,-669,26,-41551,640576,2754,-239,3045,-209,-294974,-892,663,-12,-41556,640583,2754,-231,3045,-237,-295455,-127,660,-16,-41544,640607,2754,-220,3046,-236,-295021,-917,664,24,-41556,640758,2754,-228,3046,-247,-295099,-143,663,-4,55702,717,1480,-496,1480,-488,-296485,-1760,-669,-1,-43055,-1058,2555,-317,2554,-407,-296876,-1323,663,13,-43090,-837,2556,-319,2554,-349,-296474,1599,653,-50,55699,752,1480,-488,1479,-470,-296172,-2847,-674,-6
105,2023-02-23,yes,yes,10007,114,4641,-1067,9994,-1162,-9957,-623,-9938,-1137,10009,99,4641,-1035,9990,-1083,-149331,3948,-665,55,10010,263,4640,-1033,9990,-1131,-10153,-1499,-9930,884,10009,217,4638,-1072,9990,-1129,-10052,-1195,-10018,205,10006,195,4638,-1015,9988,-1073,-10050,-435,-9994,-714,20012,269,4639,-1015,4572,-1108,-149996,8035,-667,52,10009,137,4643,-1114,9992,-1094,-10075,-976,-9985,247,10007,197,4638,-1177,9994,-1092,-10036,-1307,9792,849,-41565,640855,2755,-578,1887,-536,-294069,502,667,60,-41571,640868,2756,-570,1887,-551,-295301,-1204,658,-9,-41568,640714,2755,-590,1887,-582,-295738,-153,659,-7,-41562,640778,2756,-582,1887,-600,-295322,-1046,661,1,21965,516,2609,-425,2594,-432,-296652,-1455,-674,14,-232822,-5737,432,672,435,40,-1200,842,95592,116093,-21478,-321,2608,-302,2593,-362,-296830,293,671,22,43845,738,1818,-475,1808,-458,-295910,71,-669,26,-41550,640610,2755,-208,3046,-237,-295090,-670,664,-12,-41554,640620,2755,-238,3045,-282,-295412,165,660,-15,-41543,640641,2755,-226,3046,-250,-294901,-681,665,24,-41554,640785,2755,-214,3046,-247,-294395,190,663,-4,55703,715,1480,-477,1480,-536,-297152,-1744,-669,-1,-43051,-998,2555,-308,2555,-386,-295193,-1399,663,14,-43087,-772,2556,-373,2554,-376,-296075,1907,653,-49,55701,755,1480,-479,1480,-486,-296807,-4153,-674,-5
105,2023-02-24,yes,yes,10008,106,4639,-1046,9989,-1105,-9995,-591,-9939,-1149,10010,90,4643,-1053,9988,-1062,-150039,3486,-665,54,10011,257,4640,-1053,9992,-1122,-10027,-408,-9930,878,10009,213,4639,-1086,9992,-1119,-10054,-1196,-10019,204,10006,189,4636,-993,9990,-1093,-10046,-398,-9994,-715,20011,266,4640,-1070,4574,-1141,-150042,7961,-667,51,10009,137,4640,-1051,9991,-1088,-10081,-909,-9985,243,10008,192,4644,-1265,9985,-1024,-10038,-1245,9794,848,-41568,640849,2755,-531,1887,-539,-294138,385,667,61,-41573,640865,2755,-548,1887,-547,-295406,-1376,658,-9,-41571,640721,2755,-560,1887,-591,-295854,-421,659,-7,-41564,640781,2755,-554,1887,-580,-295427,-1317,661,1,21965,505,2609,-426,2594,-432,-296434,-1347,-674,15,-232837,-5952,432,699,435,95,-1200,920,95636,115896,-21479,-339,2609,-288,2594,-293,-296523,368,671,21,43845,712,1818,-475,1807,-396,-295676,548,-669,27,-41551,640601,2754,-263,3045,-220,-295116,-988,663,-12,-41555,640608,2754,-252,3046,-232,-295359,109,660,-15,-41544,640633,2754,-243,3046,-248,-294910,-932,664,24,-41555,640777,2755,-216,3045,-263,-294636,-49,663,-4,55703,718,1480,-471,1480,-558,-294892,-1277,-669,-1,-43054,-1028,2555,-274,2555,-385,-296537,-943,663,13,-43089,-802,2556,-357,2554,-342,-295187,1538,653,-50,55701,746,1480,-459,1480,-519,-295426,-2753,-674,-6
105,2023-02-15,yes,yes,10008,103,4640,-1060,9989,-1088,-9979,-329,-9939,-1148,10010,85,4640,-1016,9988,-1078,-150323,3681,-665,55,10011,251,4640,-1033,9988,-1100,-10060,-575,-9930,881,10009,208,4637,-1081,9986,-1079,-10054,-1182,-10020,208,10006,182,4637,-1018,9988,-1062,-10052,-436,-9996,-711,20010,266,4639,-1022,4573,-1129,-149820,8158,-667,51,10009,129,4639,-1084,9991,-1074,-10064,-891,-9987,249,10008,186,4635,-1140,9987,-1011,-10042,-1217,9795,853,-41570,640837,2755,-526,1887,-533,-294039,476,667,61,-41575,640847,2755,-543,1887,-552,-295429,-1316,658,-9,-41573,640705,2755,-555,1887,-552,-295777,-313,659,-6,-41566,640763,2755,-553,1887,-596,-295417,-1180,661,1,21964,486,2609,-441,2594,-403,-296849,-1224,-674,15,-232863,-6206,431,640,435,95,-1200,1025,95660,115774,-21482,-363,2607,-308,2593,-327,-296229,130,671,21,43847,666,1818,-454,1808,-448,-295683,417,-669,26,-41553,640588,2754,-201,3045,-188,-294791,-682,663,-12,-41558,640595,2754,-227,3045,-218,-295148,-47,660,-16,-41546,640619,2754,-256,3046,-237,-294637,-617,664,24,-41558,640769,2754,-203,3046,-237,-294580,12,663,-4,55702,715,1480,-474,1480,-527,-296941,-1039,-669,-1,-43057,-1070,2554,-358,2554,-405,-294792,-1546,663,13,-43093,-846,2555,-336,2555,-310,-296956,1431,653,-50,55699,754,1480,-489,1479,-457,-295898,-3170,-674,-6
105,2023-02-24,yes,yes,10008,107,4639,-1070,9989,-1100,-9907,-468,-9939,-1150,10009,90,4641,-1035,9987,-1063,-150724,3288,-665,54,10011,258,4641,-1064,9984,-1034,-10072,-825,-9930,879,10009,211,4643,-1112,9991,-1110,-10051,-1157,-10018,204,10006,189,4641,-1027,9991,-1096,-10053,-429,-9994,-715,20011,266,4639,-1053,4571,-1076,-149720,8230,-667,51,10009,136,4636,-1040,9986,-1023,-10042,-581,-9984,244,10007,190,4643,-1210,9987,-1012,-10038,-1262,9795,848,-41568,640845,2755,-546,1887,-531,-294138,443,667,61,-41573,640858,2755,-555,1887,-552,-295329,-1256,658,-9,-41570,640713,2755,-575,1887,-575,-295887,-424,659,-7,-41564,640776,2755,-556,1887,-598,-295429,-1210,661,1,21964,506,2609,-426,2594,-449,-296141,-1227,-674,15,-232837,-5993,431,643,435,37,-1201,985,95636,115966,-21479,-344,2608,-279,2594,-316,-296548,233,671,21,43845,708,1818,-443,1808,-467,-295619,530,-669,27,-41551,640592,2754,-252,3046,-232,-294973,-628,663,-12,-41555,640607,2755,-232,3046,-248,-295849,-334,660,-15,-41544,640629,2754,-227,3046,-265,-294630,-728,664,24,-41555,640778,2755,-206,3046,-252,-295004,-241,663,-4,55703,719,1480,-540,1480,-478,-296428,-1380,-669,-1,-43054,-1028,2555,-302,2554,-416,-295033,-1581,663,13,-43089,-807,2555,-398,2554,-390,-296646,923,653,-50,55700,752,1480,-473,1480,-545,-296057,-3221,-674,-6
