Unit,Date,validated,used_for_range,DAC_VOLTAGE_GAIN_0,DAC_VOLTAGE_OFFSET_0,ADC_U_LOAD_GAIN_0,ADC_U_LOAD_OFFSET_0,ADC_U_REGULATOR_GAIN_0,ADC_U_REGULATOR_OFFSET_0,ADC_I_MON_GAIN_0,ADC_I_MON_OFFSET_0,DAC_CURRENT_GAIN_0,DAC_CURRENT_OFFSET_0,DAC_VOLTAGE_GAIN_1,DAC_VOLTAGE_OFFSET_1,ADC_U_LOAD_GAIN_1,ADC_U_LOAD_OFFSET_1,ADC_U_REGULATOR_GAIN_1,ADC_U_REGULATOR_OFFSET_1,ADC_I_MON_GAIN_1,ADC_I_MON_OFFSET_1,DAC_CURRENT_GAIN_1,DAC_CURRENT_OFFSET_1,DAC_VOLTAGE_GAIN_2,DAC_VOLTAGE_OFFSET_2,ADC_U_LOAD_GAIN_2,ADC_U_LOAD_OFFSET_2,ADC_U_REGULATOR_GAIN_2,ADC_U_REGULATOR_OFFSET_2,ADC_I_MON_GAIN_2,ADC_I_MON_OFFSET_2,DAC_CURRENT_GAIN_2,DAC_CURRENT_OFFSET_2,DAC_VOLTAGE_GAIN_3,DAC_VOLTAGE_OFFSET_3,ADC_U_LOAD_GAIN_3,ADC_U_LOAD_OFFSET_3,ADC_U_REGULATOR_GAIN_3,ADC_U_REGULATOR_OFFSET_3,ADC_I_MON_GAIN_3,ADC_I_MON_OFFSET_3,DAC_CURRENT_GAIN_3,DAC_CURRENT_OFFSET_3,DAC_VOLTAGE_GAIN_4,DAC_VOLTAGE_OFFSET_4,ADC_U_LOAD_GAIN_4,ADC_U_LOAD_OFFSET_4,ADC_U_REGULATOR_GAIN_4,ADC_U_REGULATOR_OFFSET_4,ADC_I_MON_GAIN_4,ADC_I_MON_OFFSET_4,DAC_CURRENT_GAIN_4,DAC_CURRENT_OFFSET_4,DAC_VOLTAGE_GAIN_5,DAC_VOLTAGE_OFFSET_5,ADC_U_LOAD_GAIN_5,ADC_U_LOAD_OFFSET_5,ADC_U_REGULATOR_GAIN_5,ADC_U_REGULATOR_OFFSET_5,ADC_I_MON_GAIN_5,ADC_I_MON_OFFSET_5,DAC_CURRENT_GAIN_5,DAC_CURRENT_OFFSET_5,DAC_VOLTAGE_GAIN_6,DAC_VOLTAGE_OFFSET_6,ADC_U_LOAD_GAIN_6,ADC_U_LOAD_OFFSET_6,ADC_U_REGULATOR_GAIN_6,ADC_U_REGULATOR_OFFSET_6,ADC_I_MON_GAIN_6,ADC_I_MON_OFFSET_6,DAC_CURRENT_GAIN_6,DAC_CURRENT_OFFSET_6,DAC_VOLTAGE_GAIN_7,DAC_VOLTAGE_OFFSET_7,ADC_U_LOAD_GAIN_7,ADC_U_LOAD_OFFSET_7,ADC_U_REGULATOR_GAIN_7,ADC_U_REGULATOR_OFFSET_7,ADC_I_MON_GAIN_7,ADC_I_MON_OFFSET_7,DAC_CURRENT_GAIN_7,DAC_CURRENT_OFFSET_7,DAC_VOLTAGE_GAIN_8,DAC_VOLTAGE_OFFSET_8,ADC_U_LOAD_GAIN_8,ADC_U_LOAD_OFFSET_8,ADC_U_REGULATOR_GAIN_8,ADC_U_REGULATOR_OFFSET_8,ADC_I_MON_GAIN_8,ADC_I_MON_OFFSET_8,DAC_CURRENT_GAIN_8,DAC_CURRENT_OFFSET_8,DAC_VOLTAGE_GAIN_9,DAC_VOLTAGE_OFFSET_9,ADC_U_LOAD_GAIN_9,ADC_U_LOAD_OFFSET_9,ADC_U_REGULATOR_GAIN_9,ADC_U_REGULATOR_OFFSET_9,ADC_I_MON_GAIN_9,ADC_I_MON_OFFSET_9,DAC_CURRENT_GAIN_9,DAC_CURRENT_OFFSET_9,DAC_VOLTAGE_GAIN_10,DAC_VOLTAGE_OFFSET_10,ADC_U_LOAD_GAIN_10,ADC_U_LOAD_OFFSET_10,ADC_U_REGULATOR_GAIN_10,ADC_U_REGULATOR_OFFSET_10,ADC_I_MON_GAIN_10,ADC_I_MON_OFFSET_10,DAC_CURRENT_GAIN_10,DAC_CURRENT_OFFSET_10,DAC_VOLTAGE_GAIN_11,DAC_VOLTAGE_OFFSET_11,ADC_U_LOAD_GAIN_11,ADC_U_LOAD_OFFSET_11,ADC_U_REGULATOR_GAIN_11,ADC_U_REGULATOR_OFFSET_11,ADC_I_MON_GAIN_11,ADC_I_MON_OFFSET_11,DAC_CURRENT_GAIN_11,DAC_CURRENT_OFFSET_11,DAC_VOLTAGE_GAIN_12,DAC_VOLTAGE_OFFSET_12,ADC_U_LOAD_GAIN_12,ADC_U_LOAD_OFFSET_12,ADC_U_REGULATOR_GAIN_12,ADC_U_REGULATOR_OFFSET_12,ADC_I_MON_GAIN_12,ADC_I_MON_OFFSET_12,DAC_CURRENT_GAIN_12,DAC_CURRENT_OFFSET_12,DAC_VOLTAGE_GAIN_13,DAC_VOLTAGE_OFFSET_13,ADC_U_LOAD_GAIN_13,ADC_U_LOAD_OFFSET_13,ADC_U_REGULATOR_GAIN_13,ADC_U_REGULATOR_OFFSET_13,ADC_I_MON_GAIN_13,ADC_I_MON_OFFSET_13,DAC_CURRENT_GAIN_13,DAC_CURRENT_OFFSET_13,DAC_VOLTAGE_GAIN_14,DAC_VOLTAGE_OFFSET_14,ADC_U_LOAD_GAIN_14,ADC_U_LOAD_OFFSET_14,ADC_U_REGULATOR_GAIN_14,ADC_U_REGULATOR_OFFSET_14,ADC_I_MON_GAIN_14,ADC_I_MON_OFFSET_14,DAC_CURRENT_GAIN_14,DAC_CURRENT_OFFSET_14,DAC_VOLTAGE_GAIN_15,DAC_VOLTAGE_OFFSET_15,ADC_U_LOAD_GAIN_15,ADC_U_LOAD_OFFSET_15,ADC_U_REGULATOR_GAIN_15,ADC_U_REGULATOR_OFFSET_15,ADC_I_MON_GAIN_15,ADC_I_MON_OFFSET_15,DAC_CURRENT_GAIN_15,DAC_CURRENT_OFFSET_15,DAC_VOLTAGE_GAIN_16,DAC_VOLTAGE_OFFSET_16,ADC_U_LOAD_GAIN_16,ADC_U_LOAD_OFFSET_16,ADC_U_REGULATOR_GAIN_16,ADC_U_REGULATOR_OFFSET_16,ADC_I_MON_GAIN_16,ADC_I_MON_OFFSET_16,DAC_CURRENT_GAIN_16,DAC_CURRENT_OFFSET_16,DAC_VOLTAGE_GAIN_17,DAC_VOLTAGE_OFFSET_17,ADC_U_LOAD_GAIN_17,ADC_U_LOAD_OFFSET_17,ADC_U_REGULATOR_GAIN_17,ADC_U_REGULATOR_OFFSET_17,ADC_I_MON_GAIN_17,ADC_I_MON_OFFSET_17,DAC_CURRENT_GAIN_17,DAC_CURRENT_OFFSET_17,DAC_VOLTAGE_GAIN_18,DAC_VOLTAGE_OFFSET_18,ADC_U_LOAD_GAIN_18,ADC_U_LOAD_OFFSET_18,ADC_U_REGULATOR_GAIN_18,ADC_U_REGULATOR_OFFSET_18,ADC_I_MON_GAIN_18,ADC_I_MON_OFFSET_18,DAC_CURRENT_GAIN_18,DAC_CURRENT_OFFSET_18,DAC_VOLTAGE_GAIN_19,DAC_VOLTAGE_OFFSET_19,ADC_U_LOAD_GAIN_19,ADC_U_LOAD_OFFSET_19,ADC_U_REGULATOR_GAIN_19,ADC_U_REGULATOR_OFFSET_19,ADC_I_MON_GAIN_19,ADC_I_MON_OFFSET_19,DAC_CURRENT_GAIN_19,DAC_CURRENT_OFFSET_19,DAC_VOLTAGE_GAIN_20,DAC_VOLTAGE_OFFSET_20,ADC_U_LOAD_GAIN_20,ADC_U_LOAD_OFFSET_20,ADC_U_REGULATOR_GAIN_20,ADC_U_REGULATOR_OFFSET_20,ADC_I_MON_GAIN_20,ADC_I_MON_OFFSET_20,DAC_CURRENT_GAIN_20,DAC_CURRENT_OFFSET_20,DAC_VOLTAGE_GAIN_21,DAC_VOLTAGE_OFFSET_21,ADC_U_LOAD_GAIN_21,ADC_U_LOAD_OFFSET_21,ADC_U_REGULATOR_GAIN_21,ADC_U_REGULATOR_OFFSET_21,ADC_I_MON_GAIN_21,ADC_I_MON_OFFSET_21,DAC_CURRENT_GAIN_21,DAC_CURRENT_OFFSET_21,DAC_VOLTAGE_GAIN_22,DAC_VOLTAGE_OFFSET_22,ADC_U_LOAD_GAIN_22,ADC_U_LOAD_OFFSET_22,ADC_U_REGULATOR_GAIN_22,ADC_U_REGULATOR_OFFSET_22,ADC_I_MON_GAIN_22,ADC_I_MON_OFFSET_22,DAC_CURRENT_GAIN_22,DAC_CURRENT_OFFSET_22,DAC_VOLTAGE_GAIN_23,DAC_VOLTAGE_OFFSET_23,ADC_U_LOAD_GAIN_23,ADC_U_LOAD_OFFSET_23,ADC_U_REGULATOR_GAIN_23,ADC_U_REGULATOR_OFFSET_23,ADC_I_MON_GAIN_23,ADC_I_MON_OFFSET_23,DAC_CURRENT_GAIN_23,DAC_CURRENT_OFFSET_23
26,2022-07-12,no,no,10016,130,4643,-741,9996,-714,-9978,-530,-10063,-1720,10016,200,4645,-726,9994,-709,-150461,3978,-668,93,10017,87,4640,-626,9996,-676,-10053,-405,-10057,-294,10017,226,4647,-753,9996,-768,-9931,-574,-10131,-1280,10016,97,4633,-742,9985,-853,-10016,-649,-10055,1049,20014,226,4640,-808,4573,-870,-149949,10336,-670,88,10011,151,4641,-837,9986,-868,-9947,-462,-10045,-267,10015,146,4631,-884,9984,-817,-9890,-748,10005,-389,-41592,641243,2752,-496,1887,-531,-295909,402,654,54,-41605,641478,2754,-470,1887,-517,-296098,-94,663,-74,-41594,641363,2754,-470,1886,-493,-296657,690,655,-3,-41601,641488,2754,-501,1886,-470,-297059,167,654,6,21964,178,2607,-515,2593,-472,-295521,-177,-674,19,-232972,-5501,431,1097,434,138,-11980,4522,9650,11316,-21479,-269,2605,-443,2590,-422,-297289,2221,666,-75,43849,465,1819,-592,1808,-569,-296638,60,-669,-35,-41580,640936,2756,-558,3047,-604,-294439,-947,661,-23,-41569,640619,2756,-517,3047,-577,-295474,-226,661,-35,-41572,640880,2755,-559,3047,-568,-294479,-156,659,36,-41593,641120,2756,-596,3047,-613,-295257,-432,665,27,55707,624,1481,-642,1480,-742,-293698,462,-672,-34,-43045,-672,2555,-546,2555,-596,-293294,-758,655,-1,-43058,-624,2555,-539,2554,-626,-296792,-1778,661,5,55725,588,1481,-755,1480,-808,-296263,-68,-670,7
26,2022-07-06,no,no,10017,127,4643,-743,9999,-745,-9885,-450,-10063,-1720,10016,200,4645,-744,9996,-728,-149132,4426,-668,93,10017,86,4643,-649,9993,-642,-9912,760,-10058,-293,10017,223,4644,-726,9995,-731,-9932,-563,-10131,-1279,10016,96,4636,-773,9985,-837,-10020,-680,-10056,1051,20013,234,4640,-829,4572,-860,-150657,10033,-670,88,10011,150,4643,-852,9987,-859,-9893,-256,-10046,-263,10015,145,4648,-1056,9983,-800,-9904,-656,10005,-391,-41593,641244,2752,-482,1886,-520,-296304,375,654,54,-41607,641476,2753,-476,1886,-531,-296598,-121,663,-73,-41595,641364,2754,-459,1887,-510,-296384,1043,655,-3,-41602,641484,2753,-515,1886,-457,-296385,140,654,6,21963,171,2607,-475,2594,-535,-296486,-491,-674,19,-232983,-5560,431,1163,434,94,-11971,4490,9650,11317,-21480,-271,2605,-457,2591,-368,-297483,1936,666,-75,43850,450,1819,-565,1808,-525,-296304,303,-669,-36,-41581,640934,2756,-561,3047,-554,-294315,-1754,661,-24,-41570,640616,2756,-520,3047,-571,-295352,-349,661,-35,-41573,640876,2755,-609,3047,-573,-294373,-363,659,36,-41594,641120,2756,-587,3047,-591,-295367,-138,665,27,55709,588,1480,-650,1480,-714,-294295,613,-672,-34,-43047,-686,2555,-535,2554,-615,-295758,-702,655,-1,-43060,-641,2555,-571,2555,-575,-294213,-2635,661,5,55725,570,1481,-769,1480,-778,-294956,-27,-670,8
26,2022-07-13,no,no,10017,129,4640,-722,9995,-716,-9842,-206,-10063,-1721,10016,199,4639,-678,9996,-741,-148708,4470,-668,93,10017,86,4642,-634,9996,-658,-10063,-308,-10057,-292,10017,225,4643,-707,9989,-691,-9933,-570,-10131,-1280,10016,96,4640,-780,9981,-810,-10017,-663,-10054,1053,20014,226,4640,-809,4573,-882,-148734,10294,-670,89,10011,150,4638,-816,9985,-882,-10015,-816,-10044,-267,10015,147,4631,-825,9982,-832,-9898,-691,10005,-386,-41592,641250,2752,-494,1886,-540,-295960,262,654,54,-41605,641479,2754,-470,1887,-520,-296158,126,663,-73,-41594,641365,2754,-461,1887,-499,-296695,626,655,-4,-41601,641492,2754,-512,1886,-467,-296855,280,654,6,21964,179,2607,-533,2594,-514,-295042,-511,-674,19,-232972,-5556,431,1165,434,125,-11978,4529,9651,11319,-21479,-266,2605,-475,2591,-411,-297715,2242,666,-75,43849,461,1819,-571,1808,-554,-296072,-33,-669,-35,-41580,640935,2756,-529,3047,-586,-295179,-1551,661,-23,-41569,640624,2756,-534,3047,-586,-295338,-439,661,-35,-41572,640884,2755,-574,3047,-600,-295471,212,659,36,-41594,641123,2755,-613,3047,-594,-294515,-745,665,27,55708,619,1480,-657,1480,-751,-293847,904,-671,-34,-43046,-673,2555,-532,2553,-708,-294000,-1329,655,-1,-43059,-630,2555,-551,2554,-666,-294599,-2021,661,5,55725,588,1480,-723,1480,-757,-295133,515,-670,8
26,2023-01-19,yes,yes,10017,131,4646,-761,9996,-709,-9941,-206,-10061,-1726,10016,204,4647,-751,9993,-699,-149498,4261,-668,93,10017,89,4643,-650,9995,-672,-9987,-9,-10053,-295,10017,226,4647,-753,9995,-737,-9934,-544,-10123,-1285,10016,102,4638,-789,9987,-860,-10019,-712,-10045,1065,20015,227,4641,-847,4573,-867,-149739,9820,-670,89,10011,153,4640,-824,9985,-885,-9994,-628,-10031,-258,10015,146,4654,-1029,9984,-819,-9899,-713,10005,-390,-41591,641255,2752,-512,1886,-556,-296061,370,654,55,-41606,641497,2754,-460,1887,-514,-296447,-34,663,-73,-41594,641384,2754,-480,1887,-517,-296397,617,655,-3,-41601,641507,2754,-519,1886,-456,-296975,139,654,6,21964,190,2607,-517,2593,-515,-296745,-585,-674,19,-233025,-5590,432,1209,434,283,-1178,5078,95599,119676,-21479,-259,2605,-480,2590,-426,-297307,2080,666,-74,43850,480,1819,-545,1808,-544,-295999,4,-669,-35,-41581,640957,2756,-545,3047,-619,-294707,-1412,661,-23,-41570,640646,2756,-513,3047,-601,-295241,-700,661,-34,-41572,640902,2756,-602,3047,-608,-294859,-412,659,36,-41594,641142,2756,-595,3047,-618,-295690,-281,665,27,55699,751,1480,-654,1480,-716,-294686,574,-671,-35,-43045,-663,2555,-523,2555,-614,-294400,-399,655,0,-43059,-615,2555,-557,2554,-618,-294231,-2111,661,6,55717,711,1481,-737,1480,-792,-294288,-110,-670,6
26,2022-07-14,no,no,10017,131,4640,-711,9993,-694,-9788,93,-10064,-1714,10016,203,4644,-746,9994,-705,-149332,4590,-668,93,10017,89,4641,-618,9994,-667,-10106,-1066,-10058,-289,10017,226,4646,-734,9996,-750,-9933,-600,-10132,-1276,10016,100,4635,-789,9981,-803,-10019,-702,-10057,1050,20015,228,4640,-815,4572,-847,-148634,10672,-670,88,10011,152,4639,-808,9987,-926,-9962,-545,-10046,-264,10015,153,4639,-1035,9982,-815,-9896,-739,10006,-385,-41592,641275,2752,-505,1887,-545,-295834,441,654,53,-41605,641507,2754,-500,1887,-538,-296024,-2,663,-73,-41594,641390,2754,-493,1887,-497,-296521,722,655,-3,-41600,641515,2753,-535,1886,-481,-296673,290,654,5,21964,190,2607,-483,2593,-485,-296916,-424,-674,19,-232964,-5378,431,1174,434,130,-11975,4409,9650,11328,-21478,-257,2605,-480,2590,-434,-296654,1829,666,-75,43850,490,1819,-547,1808,-552,-296154,-75,-670,-35,-41580,640953,2756,-565,3047,-624,-295061,-2125,661,-24,-41569,640651,2756,-535,3047,-602,-295815,-442,661,-35,-41571,640903,2755,-599,3047,-599,-295818,-77,659,35,-41593,641153,2756,-607,3047,-621,-294691,-1,665,27,55704,680,1481,-688,1480,-722,-294855,-157,-672,-34,-43044,-643,2555,-553,2554,-640,-294811,-820,655,-1,-43057,-594,2556,-519,2554,-645,-295372,-2481,661,5,55721,662,1481,-728,1480,-727,-295697,122,-670,7
26,2022-07-06,no,no,10017,128,4644,-752,9996,-717,-9901,-445,-10064,-1717,10017,200,4643,-711,9998,-759,-148050,5374,-668,93,10017,87,4645,-674,9995,-671,-10003,73,-10058,-292,10017,223,4646,-747,9995,-739,-9920,-486,-10131,-1279,10016,96,4635,-738,9989,-868,-10017,-664,-10055,1054,20013,228,4641,-835,4572,-826,-149935,10364,-670,89,10011,149,4639,-802,9986,-884,-9957,16,-10046,-266,10015,145,4642,-1001,9981,-797,-9898,-696,10005,-389,-41593,641246,2752,-473,1886,-552,-295960,212,654,54,-41607,641483,2753,-483,1886,-529,-295800,-326,663,-73,-41596,641370,2754,-452,1886,-513,-296758,601,655,-3,-41602,641497,2754,-493,1886,-458,-296920,308,654,6,21964,173,2607,-500,2594,-518,-295222,-497,-674,19,-232980,-5567,431,1080,434,135,-11977,4506,9651,11323,-21480,-271,2605,-466,2591,-389,-297799,1898,666,-75,43850,451,1819,-569,1808,-556,-296117,-1,-669,-36,-41581,640936,2756,-520,3047,-588,-295051,-1894,661,-23,-41570,640623,2756,-524,3047,-599,-294829,-687,661,-35,-41572,640881,2756,-571,3047,-595,-295869,-446,659,36,-41594,641122,2756,-571,3047,-590,-294032,-527,665,27,55710,594,1481,-679,1480,-701,-295349,785,-672,-34,-43047,-682,2555,-509,2555,-570,-296293,-796,655,-1,-43060,-639,2555,-538,2554,-678,-295586,-2518,661,5,55725,576,1480,-716,1480,-762,-294841,-109,-670,7
26,2022-07-02,no,no,10015,148,4645,-773,9996,-738,-9889,-227,-10061,-1732,10015,218,4644,-744,9996,-746,-150713,4026,-668,93,10016,104,4644,-662,9996,-700,-9986,128,-10055,-302,10015,245,4648,-753,9995,-752,-9929,-555,-10129,-1287,10015,115,4635,-763,9986,-843,-10018,-683,-10056,1041,20017,238,4639,-823,4571,-841,-151713,9293,-670,89,10011,161,4638,-826,9986,-900,-9996,-416,-10042,-271,10014,166,4651,-1050,9987,-840,-9906,-644,10003,-391,-41584,641251,2752,-551,1886,-597,-295956,270,654,54,-41598,641492,2754,-485,1887,-568,-296338,-123,663,-73,-41587,641378,2754,-488,1887,-530,-296505,621,655,-3,-41594,641505,2754,-582,1886,-519,-296945,184,654,6,21964,240,2608,-575,2593,-527,-297082,-430,-674,19,-232901,-4984,431,1073,434,51,-11986,4525,9648,11282,-21473,-211,2605,-478,2591,-435,-296554,1869,666,-75,43845,577,1819,-583,1809,-636,-295892,436,-669,-35,-41573,640943,2757,-556,3047,-637,-294175,-1856,661,-23,-41562,640627,2756,-567,3047,-607,-296144,-1183,661,-34,-41564,640886,2756,-622,3047,-618,-295466,-763,659,36,-41586,641124,2756,-611,3047,-646,-294728,-727,665,27,55697,818,1481,-685,1480,-735,-294622,758,-671,-34,-43037,-572,2555,-568,2555,-659,-295246,-819,655,-1,-43050,-527,2555,-538,2555,-657,-294404,-2260,661,5,55714,782,1481,-749,1480,-753,-294672,537,-670,6
26,2022-07-04,no,no,10016,127,4641,-726,9996,-718,-9847,-202,-10064,-1717,10016,200,4643,-729,9999,-745,-150201,3834,-668,93,10017,85,4643,-650,9995,-672,-9984,62,-10057,-294,10017,221,4643,-709,9995,-751,-9933,-620,-10131,-1280,10016,94,4636,-775,9986,-849,-10023,-719,-10057,1051,20012,235,4641,-838,4573,-864,-150719,10268,-670,89,10011,150,4643,-853,9986,-875,-10000,-1006,-10046,-266,10015,142,4649,-1073,9983,-785,-9894,-714,10005,-388,-41594,641233,2752,-469,1886,-545,-296044,334,654,54,-41608,641464,2753,-446,1886,-535,-295972,-44,663,-73,-41596,641349,2754,-452,1887,-467,-296244,538,655,-3,-41603,641469,2753,-506,1887,-450,-296763,370,654,6,21963,157,2608,-514,2593,-446,-295464,-688,-674,19,-232999,-5677,431,1077,434,147,-11979,4456,9650,11305,-21481,-293,2605,-456,2590,-397,-297235,1769,666,-75,43850,414,1819,-570,1808,-557,-296344,281,-669,-35,-41582,640913,2757,-503,3047,-566,-294885,-1817,661,-24,-41571,640603,2756,-544,3047,-552,-294409,-292,661,-35,-41574,640863,2755,-551,3047,-571,-294194,-348,659,36,-41596,641102,2756,-578,3047,-597,-294405,-422,665,27,55710,552,1480,-643,1480,-710,-294794,547,-672,-34,-43048,-719,2555,-472,2554,-636,-296092,-442,655,-1,-43061,-667,2555,-516,2554,-631,-295014,-2271,661,5,55727,523,1481,-741,1480,-748,-295355,-724,-670,7
26,2022-07-13,no,no,10017,128,4642,-731,9993,-704,-9858,-28,-10063,-1719,10016,199,4646,-750,9998,-748,-148644,4791,-668,93,10017,86,4644,-671,9996,-684,-9985,-21,-10058,-292,10017,224,4641,-701,10000,-777,-9927,-540,-10131,-1278,10016,96,4638,-790,9980,-801,-10020,-688,-10055,1053,20014,227,4640,-791,4573,-892,-149023,10550,-670,88,10011,149,4640,-827,9988,-916,-9965,-555,-10045,-265,10015,145,4624,-765,9991,-883,-9899,-698,10005,-389,-41592,641252,2752,-497,1886,-558,-295848,391,654,54,-41606,641492,2754,-443,1886,-538,-295898,-121,663,-74,-41594,641372,2754,-481,1886,-516,-296107,661,655,-4,-41601,641500,2754,-496,1887,-451,-296963,485,654,6,21964,179,2608,-545,2593,-497,-296573,-798,-674,19,-232975,-5523,431,1095,434,140,-11978,4543,9651,11311,-21479,-266,2605,-462,2591,-395,-297392,1893,666,-75,43850,464,1819,-569,1808,-548,-296184,723,-669,-35,-41581,640940,2756,-528,3047,-592,-295153,-1972,661,-24,-41569,640629,2756,-543,3047,-586,-295776,-291,661,-35,-41572,640885,2756,-569,3047,-586,-295441,-369,659,36,-41594,641126,2755,-581,3047,-611,-294543,-491,665,27,55708,621,1480,-674,1480,-688,-294125,610,-671,-34,-43046,-675,2555,-547,2554,-643,-294517,-881,655,-1,-43059,-627,2555,-536,2554,-617,-295560,-2359,661,5,55725,586,1480,-711,1480,-732,-296455,183,-670,8
26,2022-07-05,no,no,10017,124,4643,-733,9995,-718,-10036,-634,-10063,-1721,10017,195,4643,-726,9998,-744,-150370,3995,-668,93,10017,82,4637,-596,9996,-683,-10004,370,-10058,-291,10017,218,4641,-691,9997,-732,-9923,-518,-10132,-1278,10016,89,4638,-786,9986,-844,-10017,-649,-10056,1055,20012,227,4641,-857,4573,-838,-149563,10087,-670,89,10011,147,4639,-813,9986,-887,-10002,-801,-10046,-263,10015,141,4638,-871,9986,-804,-9901,-698,10005,-388,-41595,641232,2751,-515,1886,-550,-295459,171,654,54,-41609,641465,2753,-461,1886,-519,-296253,-111,663,-73,-41597,641348,2754,-449,1886,-497,-296274,705,655,-3,-41604,641477,2753,-506,1886,-458,-297115,164,654,6,21963,153,2607,-503,2593,-471,-296181,-109,-674,20,-233004,-5749,431,1127,434,138,-11973,4493,9651,11311,-21482,-293,2605,-413,2590,-404,-296563,2155,666,-75,43851,404,1819,-540,1808,-510,-296270,498,-669,-36,-41583,640914,2756,-539,3047,-565,-293988,-1615,661,-24,-41572,640600,2756,-532,3047,-576,-295598,-724,661,-35,-41574,640859,2756,-567,3047,-554,-295124,217,659,36,-41596,641102,2756,-571,3047,-577,-294964,-172,665,27,55711,541,1481,-671,1480,-732,-294487,444,-672,-34,-43049,-727,2554,-540,2554,-661,-296488,-1225,655,-1,-43062,-681,2554,-566,2554,-595,-294394,-2755,661,5,55727,509,1480,-706,1480,-752,-295435,-35,-670,8
