Unit,Date,DAC_VOLTAGE_GAIN_0,DAC_VOLTAGE_OFFSET_0,ADC_U_LOAD_GAIN_0,ADC_U_LOAD_OFFSET_0,ADC_U_REGULATOR_GAIN_0,ADC_U_REGULATOR_OFFSET_0,ADC_I_MON_GAIN_0,ADC_I_MON_OFFSET_0,DAC_CURRENT_GAIN_0,DAC_CURRENT_OFFSET_0,DAC_VOLTAGE_GAIN_1,DAC_VOLTAGE_OFFSET_1,ADC_U_LOAD_GAIN_1,ADC_U_LOAD_OFFSET_1,ADC_U_REGULATOR_GAIN_1,ADC_U_REGULATOR_OFFSET_1,ADC_I_MON_GAIN_1,ADC_I_MON_OFFSET_1,DAC_CURRENT_GAIN_1,DAC_CURRENT_OFFSET_1,DAC_VOLTAGE_GAIN_2,DAC_VOLTAGE_OFFSET_2,ADC_U_LOAD_GAIN_2,ADC_U_LOAD_OFFSET_2,ADC_U_REGULATOR_GAIN_2,ADC_U_REGULATOR_OFFSET_2,ADC_I_MON_GAIN_2,ADC_I_MON_OFFSET_2,DAC_CURRENT_GAIN_2,DAC_CURRENT_OFFSET_2,DAC_VOLTAGE_GAIN_3,DAC_VOLTAGE_OFFSET_3,ADC_U_LOAD_GAIN_3,ADC_U_LOAD_OFFSET_3,ADC_U_REGULATOR_GAIN_3,ADC_U_REGULATOR_OFFSET_3,ADC_I_MON_GAIN_3,ADC_I_MON_OFFSET_3,DAC_CURRENT_GAIN_3,DAC_CURRENT_OFFSET_3,DAC_VOLTAGE_GAIN_4,DAC_VOLTAGE_OFFSET_4,ADC_U_LOAD_GAIN_4,ADC_U_LOAD_OFFSET_4,ADC_U_REGULATOR_GAIN_4,ADC_U_REGULATOR_OFFSET_4,ADC_I_MON_GAIN_4,ADC_I_MON_OFFSET_4,DAC_CURRENT_GAIN_4,DAC_CURRENT_OFFSET_4,DAC_VOLTAGE_GAIN_5,DAC_VOLTAGE_OFFSET_5,ADC_U_LOAD_GAIN_5,ADC_U_LOAD_OFFSET_5,ADC_U_REGULATOR_GAIN_5,ADC_U_REGULATOR_OFFSET_5,ADC_I_MON_GAIN_5,ADC_I_MON_OFFSET_5,DAC_CURRENT_GAIN_5,DAC_CURRENT_OFFSET_5,DAC_VOLTAGE_GAIN_6,DAC_VOLTAGE_OFFSET_6,ADC_U_LOAD_GAIN_6,ADC_U_LOAD_OFFSET_6,ADC_U_REGULATOR_GAIN_6,ADC_U_REGULATOR_OFFSET_6,ADC_I_MON_GAIN_6,ADC_I_MON_OFFSET_6,DAC_CURRENT_GAIN_6,DAC_CURRENT_OFFSET_6,DAC_VOLTAGE_GAIN_7,DAC_VOLTAGE_OFFSET_7,ADC_U_LOAD_GAIN_7,ADC_U_LOAD_OFFSET_7,ADC_U_REGULATOR_GAIN_7,ADC_U_REGULATOR_OFFSET_7,ADC_I_MON_GAIN_7,ADC_I_MON_OFFSET_7,DAC_CURRENT_GAIN_7,DAC_CURRENT_OFFSET_7,DAC_VOLTAGE_GAIN_8,DAC_VOLTAGE_OFFSET_8,ADC_U_LOAD_GAIN_8,ADC_U_LOAD_OFFSET_8,ADC_U_REGULATOR_GAIN_8,ADC_U_REGULATOR_OFFSET_8,ADC_I_MON_GAIN_8,ADC_I_MON_OFFSET_8,DAC_CURRENT_GAIN_8,DAC_CURRENT_OFFSET_8,DAC_VOLTAGE_GAIN_9,DAC_VOLTAGE_OFFSET_9,ADC_U_LOAD_GAIN_9,ADC_U_LOAD_OFFSET_9,ADC_U_REGULATOR_GAIN_9,ADC_U_REGULATOR_OFFSET_9,ADC_I_MON_GAIN_9,ADC_I_MON_OFFSET_9,DAC_CURRENT_GAIN_9,DAC_CURRENT_OFFSET_9,DAC_VOLTAGE_GAIN_10,DAC_VOLTAGE_OFFSET_10,ADC_U_LOAD_GAIN_10,ADC_U_LOAD_OFFSET_10,ADC_U_REGULATOR_GAIN_10,ADC_U_REGULATOR_OFFSET_10,ADC_I_MON_GAIN_10,ADC_I_MON_OFFSET_10,DAC_CURRENT_GAIN_10,DAC_CURRENT_OFFSET_10,DAC_VOLTAGE_GAIN_11,DAC_VOLTAGE_OFFSET_11,ADC_U_LOAD_GAIN_11,ADC_U_LOAD_OFFSET_11,ADC_U_REGULATOR_GAIN_11,ADC_U_REGULATOR_OFFSET_11,ADC_I_MON_GAIN_11,ADC_I_MON_OFFSET_11,DAC_CURRENT_GAIN_11,DAC_CURRENT_OFFSET_11,DAC_VOLTAGE_GAIN_12,DAC_VOLTAGE_OFFSET_12,ADC_U_LOAD_GAIN_12,ADC_U_LOAD_OFFSET_12,ADC_U_REGULATOR_GAIN_12,ADC_U_REGULATOR_OFFSET_12,ADC_I_MON_GAIN_12,ADC_I_MON_OFFSET_12,DAC_CURRENT_GAIN_12,DAC_CURRENT_OFFSET_12,DAC_VOLTAGE_GAIN_13,DAC_VOLTAGE_OFFSET_13,ADC_U_LOAD_GAIN_13,ADC_U_LOAD_OFFSET_13,ADC_U_REGULATOR_GAIN_13,ADC_U_REGULATOR_OFFSET_13,ADC_I_MON_GAIN_13,ADC_I_MON_OFFSET_13,DAC_CURRENT_GAIN_13,DAC_CURRENT_OFFSET_13,DAC_VOLTAGE_GAIN_14,DAC_VOLTAGE_OFFSET_14,ADC_U_LOAD_GAIN_14,ADC_U_LOAD_OFFSET_14,ADC_U_REGULATOR_GAIN_14,ADC_U_REGULATOR_OFFSET_14,ADC_I_MON_GAIN_14,ADC_I_MON_OFFSET_14,DAC_CURRENT_GAIN_14,DAC_CURRENT_OFFSET_14,DAC_VOLTAGE_GAIN_15,DAC_VOLTAGE_OFFSET_15,ADC_U_LOAD_GAIN_15,ADC_U_LOAD_OFFSET_15,ADC_U_REGULATOR_GAIN_15,ADC_U_REGULATOR_OFFSET_15,ADC_I_MON_GAIN_15,ADC_I_MON_OFFSET_15,DAC_CURRENT_GAIN_15,DAC_CURRENT_OFFSET_15,DAC_VOLTAGE_GAIN_16,DAC_VOLTAGE_OFFSET_16,ADC_U_LOAD_GAIN_16,ADC_U_LOAD_OFFSET_16,ADC_U_REGULATOR_GAIN_16,ADC_U_REGULATOR_OFFSET_16,ADC_I_MON_GAIN_16,ADC_I_MON_OFFSET_16,DAC_CURRENT_GAIN_16,DAC_CURRENT_OFFSET_16,DAC_VOLTAGE_GAIN_17,DAC_VOLTAGE_OFFSET_17,ADC_U_LOAD_GAIN_17,ADC_U_LOAD_OFFSET_17,ADC_U_REGULATOR_GAIN_17,ADC_U_REGULATOR_OFFSET_17,ADC_I_MON_GAIN_17,ADC_I_MON_OFFSET_17,DAC_CURRENT_GAIN_17,DAC_CURRENT_OFFSET_17,DAC_VOLTAGE_GAIN_18,DAC_VOLTAGE_OFFSET_18,ADC_U_LOAD_GAIN_18,ADC_U_LOAD_OFFSET_18,ADC_U_REGULATOR_GAIN_18,ADC_U_REGULATOR_OFFSET_18,ADC_I_MON_GAIN_18,ADC_I_MON_OFFSET_18,DAC_CURRENT_GAIN_18,DAC_CURRENT_OFFSET_18,DAC_VOLTAGE_GAIN_19,DAC_VOLTAGE_OFFSET_19,ADC_U_LOAD_GAIN_19,ADC_U_LOAD_OFFSET_19,ADC_U_REGULATOR_GAIN_19,ADC_U_REGULATOR_OFFSET_19,ADC_I_MON_GAIN_19,ADC_I_MON_OFFSET_19,DAC_CURRENT_GAIN_19,DAC_CURRENT_OFFSET_19,DAC_VOLTAGE_GAIN_20,DAC_VOLTAGE_OFFSET_20,ADC_U_LOAD_GAIN_20,ADC_U_LOAD_OFFSET_20,ADC_U_REGULATOR_GAIN_20,ADC_U_REGULATOR_OFFSET_20,ADC_I_MON_GAIN_20,ADC_I_MON_OFFSET_20,DAC_CURRENT_GAIN_20,DAC_CURRENT_OFFSET_20,DAC_VOLTAGE_GAIN_21,DAC_VOLTAGE_OFFSET_21,ADC_U_LOAD_GAIN_21,ADC_U_LOAD_OFFSET_21,ADC_U_REGULATOR_GAIN_21,ADC_U_REGULATOR_OFFSET_21,ADC_I_MON_GAIN_21,ADC_I_MON_OFFSET_21,DAC_CURRENT_GAIN_21,DAC_CURRENT_OFFSET_21,DAC_VOLTAGE_GAIN_22,DAC_VOLTAGE_OFFSET_22,ADC_U_LOAD_GAIN_22,ADC_U_LOAD_OFFSET_22,ADC_U_REGULATOR_GAIN_22,ADC_U_REGULATOR_OFFSET_22,ADC_I_MON_GAIN_22,ADC_I_MON_OFFSET_22,DAC_CURRENT_GAIN_22,DAC_CURRENT_OFFSET_22,DAC_VOLTAGE_GAIN_23,DAC_VOLTAGE_OFFSET_23,ADC_U_LOAD_GAIN_23,ADC_U_LOAD_OFFSET_23,ADC_U_REGULATOR_GAIN_23,ADC_U_REGULATOR_OFFSET_23,ADC_I_MON_GAIN_23,ADC_I_MON_OFFSET_23,DAC_CURRENT_GAIN_23,DAC_CURRENT_OFFSET_23
26,2023-01-19,10017,131,4646,-761,9996,-709,-9941,-206,-10061,-1726,10016,204,4647,-751,9993,-699,-149498,4261,-668,93,10017,89,4643,-650,9995,-672,-9987,-9,-10053,-295,10017,226,4647,-753,9995,-737,-9934,-544,-10123,-1285,10016,102,4638,-789,9987,-860,-10019,-712,-10045,1065,20015,227,4641,-847,4573,-867,-149739,9820,-670,89,10011,153,4640,-824,9985,-885,-9994,-628,-10031,-258,10015,146,4654,-1029,9984,-819,-9899,-713,10005,-390,-41591,641255,2752,-512,1886,-556,-296061,370,654,55,-41606,641497,2754,-460,1887,-514,-296447,-34,663,-73,-41594,641384,2754,-480,1887,-517,-296397,617,655,-3,-41601,641507,2754,-519,1886,-456,-296975,139,654,6,21964,190,2607,-517,2593,-515,-296745,-585,-674,19,-233025,-5590,432,1209,434,283,-1178,5078,95599,119676,-21479,-259,2605,-480,2590,-426,-297307,2080,666,-74,43850,480,1819,-545,1808,-544,-295999,4,-669,-35,-41581,640957,2756,-545,3047,-619,-294707,-1412,661,-23,-41570,640646,2756,-513,3047,-601,-295241,-700,661,-34,-41572,640902,2756,-602,3047,-608,-294859,-412,659,36,-41594,641142,2756,-595,3047,-618,-295690,-281,665,27,55699,751,1480,-654,1480,-716,-294686,574,-671,-35,-43045,-663,2555,-523,2555,-614,-294400,-399,655,0,-43059,-615,2555,-557,2554,-618,-294231,-2111,661,6,55717,711,1481,-737,1480,-792,-294288,-110,-670,6
32,2022-12-12,10017,136,4646,-918,10002,-965,-10019,-762,-10074,-76,10016,157,4647,-988,10003,-969,-150365,-680,-671,-10,10016,225,4645,-965,10003,-948,-10007,-800,-10028,-518,10016,267,4646,-976,10002,-932,-9946,-706,-10046,-749,10015,244,4640,-801,9990,-922,-9915,-529,-10174,-292,20033,343,4638,-667,4572,-848,-149969,-611,-670,-20,10016,206,4647,-1023,9992,-851,-9996,-1074,-10124,458,10017,247,4641,-1250,9990,-848,-9999,-882,9930,91,-41604,641571,2756,-721,1889,-692,-296091,-436,654,23,-41598,641613,2757,-696,1888,-733,-296279,-453,659,-1,-41602,641827,2756,-697,1888,-729,-296062,-228,660,-21,-41608,641524,2757,-691,1889,-669,-296983,-297,652,15,21968,352,2755,-724,1806,-750,-296438,867,-673,-24,-233174,-3979,432,1100,430,-46,-24011,5000,-19232,3141014,-21479,-346,2754,-604,1805,-587,-296015,477,668,90,43880,716,2756,-713,1806,-728,-295485,-333,-672,25,-41578,641069,2758,-752,3050,-756,-295131,-315,-676,-30,-41565,640832,2759,-803,3050,-817,-295101,-1432,662,54,-41576,641134,2758,-732,3050,-807,-294456,755,662,-12,-41564,640898,2758,-718,3050,-759,-295117,247,663,38,55707,1010,1480,-753,1481,-710,-294191,-848,-676,-37,-43019,-697,2557,-479,2557,-587,-295036,426,662,13,-43044,-733,2556,-609,2556,-671,-294548,-1066,658,4,55710,823,1481,-718,1480,-675,-294581,1033,-676,-68
34,2022-12-12,10015,199,4640,-908,9993,-996,-10006,-348,-10078,-528,10014,169,4645,-978,9994,-945,-150060,3422,-667,68,10014,184,4644,-982,9997,-1024,-9939,-572,-10177,-187,10015,211,4642,-957,9992,-999,-9925,-894,-10135,-1281,10017,227,4640,-590,9999,-698,-9987,-178,-10049,296,20031,280,4645,-637,4575,-640,-150787,8069,-668,135,10019,168,4643,-616,9995,-607,-10023,-274,-10051,512,10019,231,4630,-861,9992,-614,-9995,-1058,9863,472,-41589,641524,2758,-520,1889,-456,-296839,271,658,-38,-41594,641823,2757,-583,1889,-561,-296917,19,662,-40,-41598,641913,2757,-536,1889,-517,-296813,-220,656,-31,-41600,641816,2757,-508,1889,-528,-297285,-379,658,-26,21976,528,2605,-816,2591,-859,-296555,-1467,-669,24,-233032,-4295,431,312,429,-241,-23956,2351,5317,3729,-21470,-409,2605,-753,2592,-731,-296008,-273,665,-28,43869,865,1818,-893,1808,-936,-295656,-1678,-674,-25,-41591,641231,2761,-112,3052,-169,-295591,-103,-672,-66,-41580,641033,2761,-137,3052,-186,-295336,-415,665,-45,-41584,641334,2761,-149,3052,-216,-295379,827,662,2,-41571,641174,2761,-133,3052,-258,-295536,1478,660,13,55687,1038,1479,-700,1479,-741,-294240,-1240,-680,34,-43050,-777,2554,-485,2553,-720,-294457,-348,660,-63,-43054,-822,2554,-566,2554,-648,-293811,-115,662,11,55704,787,1480,-699,1480,-790,-294316,-911,-676,-59
35,2022-12-12,10016,152,4647,-645,10002,-757,-9975,73,-10108,-919,10015,136,4648,-608,10005,-700,-149982,3982,-675,68,10016,147,4646,-634,9999,-673,-9976,-881,-10128,563,10016,196,4649,-650,10004,-675,-9998,-293,-10074,-1017,10014,182,4642,-1006,9991,-987,-9933,-603,-10126,1085,20021,271,4641,-982,4574,-1070,-149883,8270,-672,43,10014,188,4641,-984,9988,-962,-9971,-332,-10017,-120,10016,208,4630,-1213,9992,-1100,-9966,-260,9937,307,-41603,641787,2756,-318,1888,-307,-296683,-175,658,25,-41611,641690,2757,-327,1888,-311,-295845,904,659,33,-41599,641783,2757,-324,1889,-329,-296449,935,661,67,-41609,641690,2757,-330,1888,-282,-296738,1781,658,-38,21968,288,2608,-1002,2593,-954,-296027,-957,-674,17,-232852,-4727,432,93,433,-242,-23935,2055,5368,3689,-21470,-343,2606,-830,2591,-870,-295990,828,669,-17,43857,579,1819,-1071,1808,-976,-296032,-3205,-673,59,-41562,641052,2757,-537,3048,-582,-295039,-402,-679,57,-41572,641061,2756,-533,3047,-625,-294348,405,664,-46,-41568,640706,2757,-522,3047,-570,-295184,-610,661,-14,-41569,640936,2757,-535,3048,-644,-294830,122,660,24,55733,845,1483,-454,1483,-569,-295606,464,-674,-22,-43055,-632,2562,-362,2560,-505,-295695,-208,658,-7,-43055,-651,2562,-359,2561,-472,-295779,-722,660,46,55711,782,1483,-527,1483,-562,-295652,-597,-674,-21
37,2022-12-12,10020,116,4645,-745,9999,-701,-10025,-210,-9993,-248,10021,81,4644,-736,10001,-751,-150317,3533,-671,121,10019,132,4645,-733,10002,-749,-10021,-404,-10040,425,10024,188,4646,-777,10003,-736,-9950,-720,-10106,-728,10018,144,4642,-459,9994,-479,-9984,6,-10082,298,20028,361,4642,-435,4572,-493,-150208,12307,-669,113,10013,156,4642,-446,9992,-474,-9997,82,-10082,-223,10016,212,4644,-824,9997,-547,-10010,-327,9896,279,-41573,641151,2757,-947,1889,-945,-296501,-391,658,3,-41573,641356,2757,-875,1889,-859,-296144,-708,660,23,-41581,641208,2757,-883,1889,-883,-296447,476,658,36,-41579,641338,2758,-870,1889,-918,-295728,-58,662,54,21981,388,2609,-808,2593,-865,-296846,756,-674,-6,-233046,-3956,432,-1099,431,-190,-23967,2647,5353,4026,-21480,-348,2608,-702,2594,-714,-296537,343,667,29,43862,687,1820,-835,1810,-838,-296291,-469,-670,-37,-41548,640487,2758,-329,3049,-345,-294960,-427,-676,-20,-41569,641138,2757,-313,3048,-311,-294794,338,658,-34,-41567,640700,2757,-293,3048,-333,-295019,866,659,7,-41569,640854,2757,-253,3048,-331,-294576,-766,659,-28,55691,750,1481,-584,1480,-658,-294490,66,-678,-11,-43048,-779,2558,-456,2557,-582,-295732,212,658,65,-43046,-703,2556,-363,2555,-588,-294936,163,657,-29,55680,920,1480,-552,1481,-655,-295567,2096,-670,8
38,2022-12-12,10020,94,4639,-909,9998,-1021,-9989,115,-10105,554,10017,132,4644,-957,9999,-1012,-150276,3501,-671,42,10018,549,4643,-920,9999,-1361,-10041,-666,-10049,-75,10016,279,4645,-955,9997,-1104,-9954,-175,-10100,-605,10018,155,4632,-717,9979,-808,-9959,-80,-10021,401,20033,266,4638,-768,4569,-765,-149504,8666,-667,112,10017,204,4634,-737,9985,-798,-9981,-576,-10120,161,10017,223,4631,-1125,9978,-744,-9927,-552,9976,79,-41600,641767,2757,-595,1888,-624,-296348,287,660,-7,-41610,641620,2757,-610,1888,-582,-296006,-363,660,-21,-41610,641763,2756,-608,1889,-629,-296649,366,656,69,-41607,641621,2756,-634,1889,-612,-295958,-201,655,-34,21961,335,2610,-743,2594,-686,-296752,-691,-674,42,-232912,-3360,434,1209,433,52,-24045,5126,5436,3574,-21472,-282,2609,-499,2595,-540,-295974,-534,666,-35,43853,532,1821,-708,1810,-738,-297506,-43,-670,10,-41585,641136,2747,-580,3036,-749,-293798,915,-678,76,-41610,641287,2747,-646,3036,-769,-293292,52,659,-10,-41595,641376,2747,-719,3037,-724,-293813,-870,664,5,-41578,640940,2747,-723,3037,-733,-293703,-287,-676,-86,55658,892,1481,-822,1481,-726,-294494,-332,-679,94,-43025,-922,2556,-657,2555,-584,-295120,-1372,666,-1,-43021,-885,2555,-660,2556,-577,-294873,-11,661,40,55670,931,1480,-634,1481,-758,-294747,78,-676,-107
39,2022-12-12,10019,201,4643,-538,9992,-610,-9951,-246,-10166,31,10016,125,4644,-619,9993,-593,-149974,3506,-670,25,10016,139,4640,-525,9991,-573,-10009,-202,-10066,797,10016,188,4643,-537,9993,-533,-9943,-552,-10160,238,10012,189,4635,-783,9993,-887,-9988,-456,-10064,-163,20025,387,4641,-783,4574,-927,-150187,7978,-670,64,10013,127,4640,-816,9990,-820,-9931,-102,-10038,-258,10015,168,4645,-1199,9988,-805,-9988,-790,9896,436,-41596,641560,2758,-575,1890,-480,-296738,354,658,50,-41601,641661,2758,-507,1890,-484,-296667,462,656,-21,-41603,641711,2758,-544,1890,-546,-296467,492,656,-49,-41600,641685,2758,-623,1890,-550,-296838,657,661,-18,21969,563,2607,-357,2592,-331,-296187,-959,-674,21,-232951,-2896,435,1881,431,336,-24006,6126,5386,2222,-21472,-323,2606,-310,2592,-253,-296652,-864,667,36,43847,718,1819,-434,1809,-376,-296405,-1445,-671,5,-41563,640921,2754,-600,3044,-636,-294474,370,662,-37,-41571,640973,2754,-611,3044,-639,-293812,401,663,41,-41570,641053,2753,-618,3044,-656,-294201,-1571,664,59,-41578,641177,2754,-633,3044,-618,-294085,-1385,666,-5,55711,835,1480,-854,1480,-905,-294188,-1747,-679,39,-43030,-805,2557,-734,2556,-800,-294153,-519,660,-6,-43042,-834,2556,-740,2556,-728,-294765,-472,659,-66,55709,684,1480,-844,1480,-855,-294847,257,-670,-3
41,2022-12-12,10016,211,4638,-1032,9986,-990,-10005,-554,-10041,-486,10017,179,4639,-992,9986,-1027,-149886,3083,-672,72,10017,100,4643,-994,9980,-943,-9912,-913,-10177,488,10016,220,4639,-983,9984,-1018,-9900,-552,-10226,465,10016,204,4643,-889,9999,-980,-10026,-460,-10085,753,20036,260,4645,-971,4577,-1042,-150248,8186,-666,148,10017,227,4642,-892,9999,-983,-10040,-576,-10024,111,10018,198,4635,-1237,9998,-1013,-9918,-767,9950,456,-41598,641580,2756,-626,1888,-597,-295681,188,657,-41,-41611,641604,2756,-614,1888,-573,-295985,-187,660,-59,-41602,641976,2756,-658,1888,-616,-295986,439,653,-4,-41596,641789,2756,-618,1888,-577,-296572,1014,659,49,21979,431,2608,-632,2594,-729,-296715,-1395,-677,63,-233086,-4637,434,1244,431,-130,-24016,4016,5459,4455,-21468,-308,2607,-606,2594,-670,-297051,-243,666,0,43862,596,1820,-775,1810,-747,-297398,172,-669,29,-41581,641010,2759,-304,3050,-389,-294990,1252,660,8,-41587,641330,2760,-320,3050,-362,-294957,-47,657,6,-41568,641116,2759,-297,3050,-330,-294877,25,663,5,-41581,641188,2759,-323,3050,-347,-295123,-39,662,24,55695,929,1483,-702,1482,-590,-294837,1689,-672,16,-43041,-829,2560,-537,2560,-521,-294936,-1039,665,14,-43056,-882,2561,-481,2560,-462,-295213,1686,665,-35,55691,810,1483,-700,1483,-636,-295042,32,-670,63
42,2022-12-12,10017,166,4641,-998,9988,-954,-10005,-669,-10066,-471,10016,192,4639,-934,9989,-938,-150207,3772,-666,49,10019,90,4639,-949,9990,-966,-10007,-466,-9992,-84,10017,195,4640,-951,9992,-1010,-9923,-576,-10102,-451,10014,173,4644,-835,9994,-825,-9996,55,-10115,390,20033,370,4643,-799,4574,-848,-150013,8764,-672,154,10016,198,4641,-778,9995,-876,-9997,-414,-10059,-223,10015,172,4638,-1078,9991,-824,-9983,-705,9869,119,-41595,613910,2759,-671,1890,4521,-296202,-486,660,-12,-41594,614110,2759,-648,1889,4519,-296460,-474,661,31,-41591,614370,2759,-666,1890,4535,-297134,-86,661,-10,-41590,613908,2758,-700,1890,4559,-297013,-1127,662,-6,21972,-123,2606,-438,2593,-440,-297220,-977,-673,-8,-233144,-4573,432,400,433,97,-23920,4192,5530,-2429,-21479,-565,2606,-388,2591,-366,-296566,1747,670,-19,43874,408,1819,-565,1808,-482,-297310,-1267,-668,-34,-41571,640882,2752,-607,3043,-538,-294573,962,-673,31,-41575,641050,2751,-574,3043,-586,-293989,-1128,665,-4,-41574,641149,2752,-583,3043,-618,-294199,1247,660,-8,-41574,641039,2752,-569,3042,-572,-294435,-884,666,29,55696,675,1482,-638,1480,-486,-295274,-2122,-674,41,-43028,-430,2558,-469,2557,-388,-295246,698,666,-31,-43043,-638,2558,-482,2557,-418,-294885,-472,665,11,55692,747,1481,-459,1481,-516,-294771,836,-670,9
43,2022-12-12,10017,140,4640,-826,9987,-852,-9990,-930,-10059,-20,10018,243,4640,-870,9990,-916,-150054,3398,-672,108,10018,171,4640,-928,9989,-816,-9990,-251,-10137,763,10019,267,4640,-863,9988,-938,-9936,-120,-10154,-217,10018,140,4640,-674,9998,-691,-10005,-209,-10074,617,20033,332,4646,-713,4579,-776,-149939,8322,-673,56,10018,121,4645,-674,9995,-676,-9989,-702,-10030,-455,10021,103,4642,-1086,9998,-690,-9984,-692,9852,-131,-41597,641419,2758,-909,1889,-958,-296654,-453,656,-53,-41604,641724,2758,-881,1889,-873,-296573,-370,659,1,-41600,641725,2758,-908,1889,-931,-296909,-1525,663,-72,-41597,641544,2758,-852,1890,-892,-296683,-956,659,-2,21971,415,2608,-556,2594,-616,-296744,-1748,-668,87,-233059,-3642,434,638,432,36,-23990,5107,5315,5730,-21479,-308,2607,-478,2592,-489,-296809,264,668,26,43867,490,1820,-585,1809,-604,-296487,112,-672,-11,-41564,640874,2756,-428,3048,-461,-294814,-596,658,39,-41570,640969,2757,-469,3048,-441,-294585,-616,667,20,-41574,640975,2757,-499,3048,-481,-294652,1612,661,0,-41583,641169,2757,-477,3048,-483,-294632,966,658,12,55701,860,1479,-670,1479,-699,-294293,-2545,-674,29,-43022,-632,2553,-515,2552,-561,-294066,304,660,-41,-43049,-673,2553,-525,2553,-587,-293828,-758,661,39,55707,854,1478,-636,1478,-760,-294017,172,-676,-47
