'Date',2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DAC_VOLTAGE_GAIN_0',9970.0,9970.0,9970.0,9970.0,9969.0,9970.0,9970.0,9970.0,9970.0,9970.0,9970.0,9970.0,9970.0,9969.0,9970.0,9970.0,9970.0,9970.0,9969.0,9969.0
'DAC_VOLTAGE_OFFSET_0',115.0,118.0,118.0,107.0,120.0,119.0,117.0,118.0,117.0,119.0,118.0,122.0,122.0,125.0,119.0,121.0,118.0,119.0,124.0,127.0
'ADC_U_LOAD_GAIN_0',4637.0,4643.0,4639.0,4636.0,4639.0,4638.0,4642.0,4637.0,4640.0,4639.0,4640.0,4639.0,4640.0,4640.0,4639.0,4637.0,4641.0,4636.0,4640.0,4640.0
'ADC_U_LOAD_OFFSET_0',-762.0,-839.0,-803.0,-738.0,-778.0,-772.0,-825.0,-777.0,-819.0,-797.0,-779.0,-782.0,-811.0,-794.0,-795.0,-777.0,-793.0,-769.0,-802.0,-780.0
'ADC_U_REGULATOR_GAIN_0',4566.0,4570.0,4570.0,4568.0,4567.0,4568.0,4569.0,4567.0,4567.0,4568.0,4568.0,4568.0,4570.0,4568.0,4569.0,4567.0,4566.0,4569.0,4567.0,4571.0
'ADC_U_REGULATOR_OFFSET_0',-847.0,-877.0,-879.0,-866.0,-848.0,-837.0,-860.0,-853.0,-866.0,-878.0,-849.0,-870.0,-886.0,-850.0,-859.0,-843.0,-830.0,-881.0,-873.0,-910.0
'ADC_I_MON_GAIN_0',-10115.0,-10160.0,-10175.0,-10107.0,-10168.0,-10165.0,-10195.0,-10167.0,-10133.0,-10229.0,-10192.0,-10181.0,-10174.0,-10162.0,-10127.0,-10158.0,-10196.0,-10150.0,-10130.0,-10145.0
'ADC_I_MON_OFFSET_0',-322.0,-509.0,-339.0,-355.0,-401.0,-394.0,-534.0,-518.0,-184.0,-593.0,-616.0,-448.0,-302.0,-510.0,-279.0,-294.0,-285.0,-295.0,-192.0,-333.0
'DAC_CURRENT_GAIN_0',-9732.0,-9734.0,-9745.0,-9734.0,-9740.0,-9739.0,-9738.0,-9738.0,-9738.0,-9737.0,-9738.0,-9738.0,-9738.0,-9738.0,-9736.0,-9737.0,-9737.0,-9738.0,-9738.0,-9741.0
'DAC_CURRENT_OFFSET_0',71.0,70.0,88.0,75.0,85.0,86.0,85.0,85.0,86.0,84.0,84.0,84.0,84.0,85.0,88.0,85.0,86.0,82.0,82.0,81.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'DAC_VOLTAGE_GAIN_1',10024.0,10024.0,10024.0,10025.0,10024.0,10024.0,10024.0,10024.0,10024.0,10024.0,10024.0,10024.0,10023.0,10023.0,10024.0,10024.0,10024.0,10023.0,10023.0,10023.0
