0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DAC_VOLTAGE_GAIN_0',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_0',7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
'ADC_U_LOAD_GAIN_0',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'ADC_U_LOAD_OFFSET_0',15.0,13.0,12.0,15.0,15.0,13.0,16.0,16.0,18.0,13.0,13.0,16.0,15.0,15.0,16.0,15.0,12.0,13.0,13.0,14.0
'ADC_U_REGULATOR_GAIN_0',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'ADC_U_REGULATOR_OFFSET_0',15.0,15.0,16.0,15.0,13.0,15.0,11.0,15.0,12.0,15.0,16.0,14.0,15.0,16.0,14.0,16.0,17.0,17.0,15.0,15.0
'ADC_I_MON_GAIN_0',56.0,36.0,47.0,48.0,38.0,40.0,46.0,42.0,45.0,47.0,46.0,46.0,51.0,42.0,44.0,41.0,47.0,45.0,48.0,40.0
'ADC_I_MON_OFFSET_0',328.0,209.0,273.0,270.0,213.0,235.0,266.0,249.0,259.0,278.0,273.0,268.0,315.0,251.0,247.0,242.0,274.0,256.0,282.0,234.0
'DAC_CURRENT_GAIN_0',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_CURRENT_OFFSET_0',12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
