0 6408.27 1762 1949 10 1
62.5 6168.34 1696 1877 10 1
125 5906.37 1624 1795 10 1
187.5 5648.14 1553 1717 6 1
250 5384.85 1480 1638 9 1
312.5 5126.59 1409 1556 8 1
375 4864.57 1339 1479 8 1
437.5 4606.36 1268 1401 7 1
500 4342.97 1192 1319 7 1
562.5 4084.79 1121 1241 7 1
625 3822.74 1048 1160 6 1
687.5 3563.25 977 1080 7 1
750 3301.27 903 1000 3 1
812.5 3043.03 834 921 3 1
875 2779.77 760 842 2 1
937.5 2521.46 690 764 6 1
1000 2259.49 616 684 1 1
1062.5 2001.31 545 604 3 1
1125 1740.47 472 524 1 1
1187.5 1482.29 401 445 0 1
1250 1220.19 330 366 1 1
1312.5 962.008 258 286 0 1
1375 698.745 185 207 -2 1
1437.5 440.484 114 128 -2 1
1500 178.491 42 47 0 1
1562.5 -80.7375 -29 -31 -2 1
1625 -343.037 -101 -112 -3 1
1687.5 -601.228 -173 -190 -3 1
1750 -864.554 -244 -270 -6 1
1812.5 -1122.72 -316 -347 -7 1
1875 -1384.85 -390 -429 -8 1
1937.5 -1642.99 -458 -509 -4 1
2000 -1906.22 -532 -588 -7 1
2062.5 -2167.04 -604 -668 -6 1
2125 -2428.98 -676 -748 -8 1
2187.5 -2687.22 -750 -825 -10 1
2250 -2950.58 -821 -905 -8 1
2312.5 -3208.75 -892 -985 -10 1
2375 -3470.85 -964 -1064 -9 1
2437.5 -3730.39 -1036 -1142 -10 1
2500 -3992.52 -1109 -1223 -12 1
2562.5 -4250.73 -1179 -1303 -10 1
2625 -4514 -1252 -1383 -12 1
2687.5 -4772.25 -1323 -1463 -13 1
2750 -5034.2 -1396 -1544 -14 1
2812.5 -5292.47 -1467 -1619 -13 1
2875 -5555.69 -1539 -1700 -14 1
2937.5 -5813.87 -1611 -1779 -17 1
3000 -6075.96 -1683 -1860 -15 1
3062.5 -6334.2 -1754 -1938 -15 1
3125 -6597.57 -1827 -2019 -17 1
3187.5 -6855.73 -1899 -2099 -18 1
3250 -7117.71 -1971 -2176 -19 1
3312.5 -7377.21 -2042 -2257 -18 1
3375 -7639.2 -2115 -2338 -19 1
3437.5 -7897.34 -2187 -2415 -19 1
3500 -8160.68 -2259 -2496 -18 1
3562.5 -8418.81 -2330 -2575 -20 1
3625 -8680.84 -2402 -2655 -20 1
3687.5 -8939.02 -2473 -2735 -23 1
3750 -9202.4 -2548 -2813 -23 1
3812.5 -9460.56 -2618 -2893 -23 1
3875 -9722.64 -2691 -2972 -23 1
3937.5 -9980.9 -2763 -3051 -23 1
4000 -10244.2 -2835 -3132 -23 1
4062.5 -10502.5 -2905 -3211 -25 1
4125 -10764.4 -2978 -3291 -25 1
4187.5 -11023.9 -3049 -3370 -26 1
4250 -11286 -3123 -3450 -28 1
4312.5 -11544.2 -3193 -3529 -26 1
4375 -11807.6 -3266 -3609 -28 1
4437.5 -12065.7 -3338 -3686 -29 1
4500 -12327.8 -3410 -3768 -29 1
4562.5 -12586 -3482 -3847 -28 1
4625 -12849.2 -3555 -3927 -29 1
4687.5 -13107.4 -3624 -4007 -30 1
4750 -13369.4 -3697 -4086 -31 1
4812.5 -13627.5 -3769 -4163 -30 1
4875 -13746.2 -3801 -4199 -31 1
4937.5 -13747.1 -3801 -4199 -31 1
